set,slot_utc,robust,entry,entry_delay,spread,hour,r5,dOI,imb,liq,rng24,d_hi,d_lo,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,n1,n5,n15,n30,n60
primary,2026-09-03T05:15:00,0,77409.39,30.152,7.0,5.0,-0.0017,-0.0021,0.0712,0.0,45.01,3.687,0.0663,106.4357,407.37,39.5942,350.04,7.5965,adv,adv,-68.12,-183.59,-83.84,80.24,313.34
primary,2026-09-03T07:05:00,0,77976.16,31.296,7.0,7.0,-0.0019,,-0.3164,1.4291,46.165,1.619,2.9678,107.6893,113.42,2.3071,415.04,47.183,fav,fav,10.35,-11.3,-90.67,-26.49,-79.34
primary,2026-09-03T15:05:00,1,80506.14,30.495,7.0,15.0,-0.0026,0.0004,-0.2483,0.0,45.435,1.3991,5.2612,328.1307,866.96,48.9659,164.19,1.7776,adv,fav,22.23,107.77,159.23,423.38,445.98
primary,2026-09-03T16:15:00,1,80749.0,30.758,7.0,16.0,-0.0032,0.0004,0.0424,11.2877,46.005,2.3374,0.8229,268.5057,392.4,57.2133,140.91,7.6789,adv,fav,95.46,-106.94,86.98,241.62,274.85
primary,2026-09-03T17:50:00,0,81022.82,30.042,7.0,17.0,-0.0017,,0.3307,0.0,46.705,1.3124,1.0104,140.3821,342.31,14.1876,128.53,36.2383,fav,fav,12.91,7.96,236.8,-19.46,166.55
primary,2026-09-03T19:05:00,0,81318.93,30.189,7.0,19.0,-0.0019,-0.0013,-0.4772,24.4493,48.02,1.8226,2.3378,180.145,493.64,46.75,151.03,5.2661,adv,fav,-86.6,-137.12,142.28,240.06,309.05
primary,2026-09-03T20:10:00,1,81454.14,31.595,7.0,20.0,-0.003,-0.0007,0.0182,0.0,48.715,1.5942,1.2454,227.0329,197.27,23.5638,165.04,51.4968,fav,neither,-35.9,2.3,122.6,-17.03,95.83
primary,2026-09-03T21:35:00,1,81646.98,30.098,7.0,21.0,-0.0047,-0.0067,-0.4649,1.5096,50.695,3.083,1.6502,214.7443,121.92,14.1569,736.4,53.4896,adv,adv,-35.29,-100.16,14.67,-219.96,-441.57
primary,2026-09-04T00:40:00,0,81223.98,30.251,7.0,0.0,-0.0019,0.0012,-0.6276,0.8358,54.505,1.4115,0.9284,152.6907,25.27,0.4996,469.99,55.4834,adv,adv,5.81,-135.98,-185.12,-275.36,-437.82
primary,2026-09-04T02:00:00,0,80873.15,30.926,7.0,2.0,-0.0018,0.0001,-0.2179,0.0,54.575,1.621,0.8006,144.4736,80.44,57.8412,217.53,44.0949,adv,adv,-1.38,-46.94,-132.04,-163.73,23.96
primary,2026-09-04T04:35:00,0,81042.86,31.084,7.0,4.0,-0.0017,-0.0005,0.3445,0.0,54.515,2.4756,2.2925,102.9714,104.96,39.2137,150.88,50.5362,fav,adv,8.61,-31.73,68.89,2.78,-116.1
primary,2026-09-04T09:20:00,1,80984.16,30.312,7.0,9.0,-0.0025,-0.0014,-0.1551,0.0,54.235,2.2184,0.6409,146.0943,226.61,15.2697,170.69,59.1657,fav,fav,-47.4,37.09,188.87,145.85,-144.0
primary,2026-09-04T12:30:00,1,79926.99,30.62,7.0,12.0,-0.0186,-0.0423,0.0378,61.5537,55.845,6.1361,1.134,233.9964,186.99,7.3841,786.19,59.9461,adv,adv,-125.77,-8.64,-554.44,-479.33,-770.02
primary,2026-09-04T13:50:00,1,79298.57,30.434,7.0,13.0,-0.0047,-0.0025,-0.1955,0.073,57.29,1.3088,1.0647,305.9614,270.56,6.6289,664.47,54.6881,fav,adv,33.2,159.22,-41.96,8.81,-424.55
primary,2026-09-05T19:30:00,1,79862.59,30.575,7.0,19.0,-0.0021,-0.0002,-0.0419,0.0,19.53,2.3736,1.2734,65.5579,5.15,0.179,175.39,59.6319,adv,adv,-71.5,-51.68,-147.19,-89.27,-148.29
primary,2026-09-06T14:55:00,0,79523.13,30.956,7.0,15.0,-0.0017,-0.0006,-0.1875,0.0,21.795,2.5076,2.4415,130.4779,201.71,53.468,152.02,0.9374,adv,adv,-97.95,29.65,7.08,124.22,178.54
primary,2026-09-07T00:15:00,1,80061.27,30.229,7.0,0.0,-0.0027,-0.0,0.353,0.0413,22.855,3.5702,0.0789,142.9107,214.78,11.092,212.69,55.3876,fav,fav,82.63,93.64,98.45,62.69,-164.33
primary,2026-09-07T02:40:00,0,80221.86,30.394,7.0,2.0,-0.0016,0.0018,-0.2111,0.2048,24.81,1.8863,3.9283,112.6764,54.56,1.2591,653.32,56.0475,adv,adv,4.76,-15.89,-414.65,-459.27,-572.51
primary,2026-09-07T13:30:00,1,79384.2,30.286,7.0,13.0,-0.0028,0.0,0.1575,0.0,30.285,3.3338,0.4122,78.4821,33.4,3.4668,393.19,58.7571,adv,adv,-52.43,-38.8,-69.95,-78.32,-329.17
primary,2026-09-07T15:30:00,1,78864.02,30.831,7.0,15.0,-0.0023,-0.0019,0.0867,15.1116,30.85,3.1959,0.6894,126.79,73.27,59.9635,203.35,6.7643,adv,adv,-54.3,-94.22,-21.64,-11.05,59.72
primary,2026-09-07T22:35:00,1,78848.26,30.531,7.0,22.0,-0.0023,-0.0005,-0.0121,2.7923,31.555,4.0567,0.8018,92.5036,303.38,28.1819,56.8,2.898,adv,fav,-29.66,-31.95,76.2,261.41,172.4
primary,2026-09-08T02:25:00,1,79234.93,30.571,7.0,2.0,-0.0024,-0.0003,-0.4345,0.0,30.445,2.325,0.1257,102.2579,21.08,1.3057,535.62,51.6883,adv,adv,2.23,-69.19,-108.52,-313.72,-416.96
primary,2026-09-08T05:30:00,0,78653.53,30.462,7.0,5.0,-0.0018,-0.0007,0.2412,0.0003,30.435,1.7162,1.2215,120.0786,86.68,3.4516,320.61,52.8713,fav,adv,-51.26,16.98,-11.09,-178.64,-310.3
primary,2026-09-08T07:45:00,1,78224.79,30.694,7.0,7.0,-0.0019,-0.0008,0.2386,0.0,31.95,3.284,0.0506,107.385,336.51,55.2618,80.61,1.7519,adv,fav,-35.73,156.16,121.36,85.96,216.85
primary,2026-09-08T12:00:00,1,78263.74,30.495,7.0,12.0,-0.0024,,-0.2468,0.4941,34.76,2.1372,0.654,98.6786,219.96,57.3017,81.09,8.6443,fav,fav,12.15,48.22,-33.81,88.12,198.76
primary,2026-09-08T13:30:00,1,78085.75,30.723,7.0,13.0,-0.0027,-0.0012,-0.1119,7.6436,36.145,3.7011,0.4146,116.6157,306.57,58.7262,494.44,17.0759,adv,adv,12.99,-293.92,-295.55,-73.63,233.49
primary,2026-09-08T17:05:00,0,78711.69,30.01,7.0,17.0,-0.0016,-0.0001,-0.1323,0.0,38.765,1.913,1.0926,135.1014,10.71,3.0147,235.69,50.0037,adv,adv,-51.84,-36.7,-171.83,-162.51,-29.87
primary,2026-09-08T18:35:00,0,78586.56,30.617,7.0,18.0,-0.0017,-0.0011,-0.4758,0.0,39.855,2.3297,1.1056,96.8357,54.11,6.3548,331.14,12.5585,fav,adv,-13.04,20.07,-223.11,-161.99,-129.17
primary,2026-09-08T20:30:00,0,78416.58,31.037,7.0,20.0,-0.0018,-0.0007,0.2498,0.0,41.66,1.7327,0.8924,114.1714,201.34,52.8167,7.0,0.0,fav,fav,48.21,93.56,86.24,78.22,82.17
primary,2026-09-08T22:05:00,0,78472.44,31.005,7.0,22.0,-0.0014,-0.001,-0.3474,0.0,42.095,2.0814,0.9186,92.5064,95.29,41.5119,25.43,3.5814,fav,fav,-6.4,16.59,29.24,-12.95,29.28
primary,2026-09-09T04:05:00,1,78750.91,30.907,7.0,4.0,-0.0019,0.0008,-0.3282,0.0,39.435,2.1545,2.5595,85.54,447.15,34.5896,20.01,0.5185,fav,fav,-1.26,44.79,134.98,138.63,347.75
primary,2026-09-09T05:20:00,0,79160.62,30.857,7.0,5.0,-0.0016,,0.1542,0.0,39.3,1.6457,2.5346,120.595,112.8,58.4269,335.3,23.4311,adv,adv,-18.46,-55.46,-239.35,-253.1,29.08
primary,2026-09-09T09:05:00,0,79486.55,30.716,7.0,9.0,-0.0018,-0.0001,0.4399,0.0,38.005,2.1429,0.7914,129.0086,57.69,4.6022,608.77,44.9769,adv,adv,-6.95,10.77,-58.76,-241.28,-491.7
primary,2026-09-09T10:50:00,0,78883.26,31.082,7.0,10.0,-0.0018,-0.0003,0.5064,0.0514,38.57,2.6818,0.2404,110.2036,481.0,55.87,170.1,7.5363,fav,adv,45.15,43.4,-46.41,40.28,372.87
primary,2026-09-09T13:35:00,1,79367.19,30.009,7.0,13.0,-0.004,-0.0006,-0.1611,0.0,38.76,2.3367,0.8167,131.1693,80.52,0.532,522.12,40.1172,fav,adv,2.08,-115.05,-204.8,-434.8,-124.04
primary,2026-09-09T14:40:00,1,78955.45,30.518,7.0,14.0,-0.003,-0.0005,0.104,0.0669,38.795,1.8485,0.4451,240.1179,416.95,15.4852,918.87,39.3435,fav,fav,69.75,126.3,39.68,-477.06,-352.25
primary,2026-09-09T16:05:00,1,78486.05,30.453,7.0,16.0,-0.0031,-0.002,-0.2814,0.0,39.31,0.9601,1.4689,303.6093,455.01,23.6376,59.61,13.0859,fav,fav,36.81,78.19,92.14,260.85,280.32
primary,2026-09-09T18:50:00,0,78435.05,30.127,7.0,18.0,-0.0015,-0.0001,-0.0465,0.0117,39.11,4.289,0.5008,86.1707,137.6,28.9786,305.32,57.8096,adv,adv,26.28,-37.73,-56.27,115.8,-256.74
primary,2026-09-09T20:45:00,1,78088.2,30.813,7.0,20.0,-0.0022,-0.0003,0.0035,0.0,38.925,1.8761,1.4394,128.4936,242.99,15.037,112.86,59.9693,fav,fav,52.18,122.18,237.02,68.0,-115.13
primary,2026-09-09T21:45:00,0,77985.02,30.021,7.0,21.0,-0.0017,-0.0011,-0.1643,0.2728,39.11,3.112,0.055,112.3629,194.62,9.8044,236.84,18.6804,fav,fav,80.48,98.75,32.89,-41.63,19.56
primary,2026-09-10T01:30:00,0,78019.18,30.002,7.0,1.0,-0.0015,0.0004,-0.0424,0.0,41.215,3.5973,0.0693,131.3271,212.33,6.9884,96.59,4.1828,adv,fav,-32.98,-30.4,41.54,-14.45,100.4
primary,2026-09-10T03:50:00,0,78270.98,30.273,7.0,3.0,-0.0014,-0.0004,-0.3661,0.0,41.755,2.8141,0.0822,95.54,133.02,24.605,35.77,3.5657,fav,fav,-8.58,6.86,76.22,72.56,27.62
primary,2026-09-10T05:00:00,0,78248.62,30.118,7.0,5.0,-0.0015,,0.2575,0.0,41.18,2.3418,0.1356,70.1521,288.14,53.0755,7.0,0.0,fav,fav,14.5,34.48,101.12,214.19,170.21
primary,2026-09-10T07:00:00,1,78175.17,30.893,7.0,7.0,-0.002,0.0007,-0.0533,0.0,40.75,3.1191,0.4378,105.3579,41.56,1.6706,297.19,29.0283,adv,adv,-4.88,4.27,-19.79,-228.09,-70.55
primary,2026-09-10T09:35:00,0,77957.26,30.013,7.0,9.0,-0.0017,-0.0008,0.3947,0.0,40.285,2.9245,0.3211,85.6079,55.93,23.2047,171.26,53.5895,adv,adv,-50.53,0.84,-11.5,-12.61,32.53
primary,2026-09-10T11:00:00,0,77728.04,30.694,7.0,11.0,-0.0016,-0.0005,-0.1624,5.4973,39.065,2.9677,0.7069,99.9936,300.24,30.332,46.14,0.8714,fav,fav,-17.82,85.26,211.72,280.75,0.71
primary,2026-09-10T12:30:00,1,77431.81,30.173,7.0,12.0,-0.0059,-0.0114,-0.2209,7.1941,39.27,4.2143,0.8805,142.3664,63.74,0.1028,801.03,11.7232,adv,adv,-43.52,-318.94,-411.13,-429.56,-588.5
primary,2026-09-10T13:40:00,0,76930.48,30.862,7.0,13.0,-0.0017,,-0.0993,0.0,40.33,0.8661,1.1733,252.4443,416.95,43.7989,41.4,5.9063,fav,fav,45.48,24.7,275.74,99.36,367.68
primary,2026-09-10T15:00:00,0,77288.34,30.019,7.0,15.0,-0.0016,0.001,0.3415,0.0,39.995,0.7252,2.2671,159.8943,100.76,5.2988,248.63,59.8399,fav,adv,14.26,53.7,-99.12,-110.43,-254.68
primary,2026-09-10T16:00:00,1,77045.66,30.595,7.0,16.0,-0.0022,-0.0025,-0.2503,0.0,39.335,2.6921,0.019,128.8729,151.12,42.2971,293.14,29.7433,adv,adv,4.23,-147.7,-126.84,-278.45,88.24
primary,2026-09-10T18:00:00,0,77122.95,30.405,7.0,18.0,-0.0019,-0.0001,0.3436,0.0,39.74,3.2824,0.2829,119.4707,147.0,49.2858,183.47,4.809,adv,adv,-11.48,-150.62,-93.58,-91.62,27.08
primary,2026-09-10T23:10:00,1,76597.78,30.558,7.0,23.0,-0.0025,-0.0046,0.3143,9.7784,37.78,4.4408,1.2139,136.0957,221.04,57.6671,102.49,0.7918,adv,fav,-41.84,93.75,144.62,148.75,201.03
primary,2026-09-11T09:35:00,1,76874.77,30.977,7.0,9.0,-0.0021,-0.0026,0.3762,4.6516,36.83,7.2296,0.0806,74.2057,255.45,24.4167,43.66,0.7628,adv,fav,-19.5,56.05,111.1,172.97,102.19
primary,2026-09-11T11:00:00,0,76885.94,30.836,7.0,11.0,-0.0014,-0.0011,-0.0845,0.0286,36.7,2.9299,0.5143,79.9914,207.19,57.3565,182.06,9.7243,adv,adv,-25.34,-131.11,-100.67,-126.56,102.26
primary,2026-09-11T12:05:00,0,76912.76,30.678,7.0,12.0,-0.0017,-0.001,0.0468,0.0,36.59,1.692,1.8899,108.67,1202.03,40.8071,909.5,19.8193,fav,fav,47.74,-28.96,30.76,677.89,645.28
primary,2026-09-11T13:05:00,1,77565.92,30.536,7.0,13.0,-0.0025,-0.0039,0.4116,1.9529,36.78,1.5448,4.3605,357.5629,243.79,11.8382,352.48,26.5649,fav,neither,23.04,90.81,83.64,,
upside_buy,2026-08-04T13:30:00,0,63917.3,30.985,7.0,13.0,0.0014,0.0,-0.0321,0.0808,29.06,0.7238,1.6416,105.0429,115.4,7.7514,383.81,25.0696,fav,fav,61.36,78.15,-100.43,-119.14,-59.49
upside_buy,2026-08-04T14:40:00,0,64029.75,30.337,7.0,14.0,0.0022,0.0005,-0.0942,2.676,29.0,0.5395,2.7496,179.2136,136.35,18.845,282.21,48.33,fav,adv,13.38,-30.96,32.18,-35.02,9.81
upside_buy,2026-08-04T15:40:00,0,64050.3,30.082,7.0,15.0,0.0032,-0.001,-0.0991,0.0,28.775,0.9487,2.3797,125.7529,121.9,3.7382,214.19,57.9296,fav,adv,62.32,12.2,13.67,-89.08,-155.75
upside_buy,2026-08-04T17:00:00,0,64022.51,30.42,7.0,17.0,0.0018,0.0001,-0.1274,0.0048,28.69,0.4379,2.0101,90.99,107.67,3.1623,192.17,47.2668,fav,fav,16.31,3.33,-28.89,78.57,49.81
upside_buy,2026-08-04T18:00:00,0,64084.32,31.035,7.0,18.0,0.0015,0.0,-0.2333,0.0,28.825,0.5024,2.5495,98.2486,276.87,26.834,38.69,6.0692,fav,fav,-35.68,-6.32,222.23,196.21,165.9
upside_buy,2026-08-04T19:40:00,0,64323.74,30.557,7.0,19.0,0.0014,-0.0001,-0.1547,0.2814,28.915,0.7213,1.6611,73.275,59.05,58.307,386.4,31.5675,adv,adv,10.78,-49.95,-168.2,-244.04,-22.27
upside_buy,2026-08-04T20:40:00,0,64313.45,30.547,7.0,20.0,0.002,0.0002,-0.1418,0.6711,29.085,0.6919,3.5393,105.2786,5.46,0.6743,179.73,34.7426,adv,adv,-26.49,-31.64,-36.01,-133.86,-160.73
upside_buy,2026-08-04T23:05:00,0,64360.41,30.128,7.0,23.0,0.0023,-0.0001,0.3709,3.3163,28.56,1.1408,3.5685,68.6079,134.16,7.8961,401.64,58.795,adv,fav,-12.33,-16.79,-118.31,-202.94,-389.6
upside_buy,2026-08-05T01:20:00,0,64044.37,30.197,7.0,1.0,0.0014,0.0002,0.6233,0.0,28.96,1.4453,2.1172,70.0457,413.65,46.5648,59.35,1.6292,adv,fav,-57.28,21.4,170.87,201.6,340.94
upside_buy,2026-08-05T05:00:00,0,64240.63,30.633,7.0,5.0,0.002,-0.0001,-0.132,2.0401,28.935,0.0671,3.6547,57.3543,225.85,20.784,23.94,3.4341,fav,fav,-6.34,-18.93,45.76,66.26,46.74
upside_buy,2026-08-05T07:55:00,0,64116.97,30.449,7.0,8.0,0.0017,0.0012,0.1102,0.0,29.275,1.7383,2.7219,64.3221,102.48,29.8756,86.71,44.9564,fav,fav,15.07,-14.02,-5.77,90.39,-64.39
upside_buy,2026-08-05T12:15:00,0,64433.19,30.514,7.0,12.0,0.0039,0.0001,-0.1692,1.5723,28.875,0.016,6.0638,73.695,104.87,0.8087,390.22,53.0732,fav,fav,16.25,-14.32,-74.32,-78.96,-310.89
upside_buy,2026-08-05T13:35:00,0,64228.37,30.265,7.0,13.0,0.0047,0.0,0.1164,0.5278,28.895,1.9141,3.3426,123.1,298.58,38.9766,258.05,6.5025,adv,adv,-63.34,-143.32,-22.91,158.67,63.04
upside_buy,2026-08-05T14:40:00,0,64365.99,30.618,7.0,14.0,0.0016,-0.0011,0.1637,0.0,28.96,0.9567,2.2814,171.9,346.58,25.3367,96.03,8.308,fav,fav,28.91,47.07,59.41,165.83,74.85
upside_buy,2026-08-05T16:10:00,0,64529.09,30.055,7.0,16.0,0.0017,0.0007,-0.1039,0.0,29.015,1.2707,1.6157,127.8014,187.0,14.3203,41.99,59.6369,fav,fav,37.95,40.93,153.22,83.71,-17.12
upside_buy,2026-08-05T17:35:00,0,64682.62,30.211,7.0,17.0,0.0019,-0.0006,-0.0471,1.0667,28.79,0.1918,2.7919,73.3579,73.66,35.224,84.24,4.8138,adv,adv,-18.87,-72.99,3.45,-70.63,41.1
upside_buy,2026-08-05T18:35:00,0,64735.72,30.812,7.0,18.0,0.0014,-0.001,0.2775,0.0,28.63,0.2769,1.5406,86.875,147.1,46.6509,42.39,14.7095,fav,fav,-35.94,17.15,-17.18,67.85,109.8
upside_buy,2026-08-05T20:20:00,0,64925.7,30.457,7.0,20.0,0.0016,0.0016,-0.3986,10.1096,28.07,1.1945,2.8198,61.7179,19.0,19.8163,312.85,58.8169,adv,adv,-14.96,-8.96,-35.83,-128.09,-310.32
upside_buy,2026-08-06T05:05:00,0,64876.36,30.266,7.0,5.0,0.0029,-0.0005,-0.1797,13.6623,26.06,0.9316,5.7814,67.9714,61.73,7.889,110.21,59.8774,adv,adv,-19.38,-33.04,23.1,-71.67,-111.53
upside_buy,2026-08-06T07:10:00,0,64863.14,30.658,7.0,7.0,0.0014,0.0007,-0.4038,0.0,25.92,0.4154,3.5136,52.4357,39.92,8.2506,174.7,59.9526,adv,adv,-13.51,-16.8,-37.23,-120.45,-175.9
upside_buy,2026-08-06T13:35:00,0,64286.24,30.761,7.0,13.0,0.0014,0.0,0.0468,0.013,24.865,2.666,2.1546,89.9664,300.69,55.6747,29.84,0.5622,fav,fav,-8.95,89.7,94.94,122.24,235.81
upside_buy,2026-08-06T14:40:00,0,64717.86,30.291,7.0,14.0,0.0037,-0.0027,-0.0063,13.2691,24.86,0.5156,3.2917,131.5121,207.5,24.8387,111.59,5.4017,adv,fav,-8.97,-70.6,2.17,56.73,-38.48
upside_buy,2026-08-06T15:45:00,0,64803.64,30.05,7.0,15.0,0.0014,-0.0003,0.5066,0.0787,24.865,0.97,1.5017,129.0979,-6.62,0.1358,278.36,25.6933,adv,adv,-58.92,-210.16,-197.33,-229.88,-135.23
upside_buy,2026-08-07T01:00:00,0,64361.9,30.574,7.0,1.0,0.0013,0.0011,-0.7043,0.0016,23.605,0.5722,2.3984,79.92,54.36,28.0219,133.42,34.8995,adv,adv,-24.54,-65.21,-97.03,5.34,-35.2
upside_buy,2026-08-07T02:40:00,0,64348.61,30.482,7.0,2.0,0.0017,0.0001,0.0754,0.0,24.165,1.4956,1.5793,96.9771,65.33,5.6382,154.71,37.251,fav,adv,-6.19,33.75,-0.07,-68.8,-81.92
upside_buy,2026-08-07T08:40:00,0,64552.14,31.16,7.0,8.0,0.0022,0.0016,-0.2859,13.6299,24.3,1.1222,5.2317,59.0014,366.24,52.4591,37.83,13.0836,adv,fav,-25.5,-17.06,-3.15,119.78,305.0
upside_buy,2026-08-07T12:05:00,0,65110.34,31.576,7.0,12.0,0.0015,-0.0001,-0.1456,9.8016,25.09,0.7846,2.7943,81.5614,238.16,45.0964,184.13,24.5485,fav,fav,78.76,49.51,-78.08,-7.48,79.74
upside_buy,2026-08-07T13:30:00,0,65235.81,30.002,7.0,13.0,0.0021,0.0,0.212,0.0328,26.105,0.8649,2.2786,134.3364,61.47,9.8283,505.08,37.2344,adv,adv,-49.08,9.12,-46.25,-407.4,-115.43
upside_buy,2026-08-07T15:05:00,0,64983.18,31.399,7.0,15.0,0.0021,,0.1709,0.0,26.19,1.792,1.7959,138.6221,104.09,22.4003,139.43,48.9747,adv,adv,-54.53,-101.48,-8.6,-45.54,-39.56
upside_buy,2026-08-07T18:00:00,0,64808.46,31.433,7.0,18.0,0.0014,0.0017,0.2294,0.0,25.97,0.1474,3.7081,92.1843,30.13,6.541,186.11,49.4682,adv,adv,-14.9,18.98,-21.65,-75.2,-56.4
upside_buy,2026-08-09T08:00:00,0,64865.25,31.681,7.0,8.0,0.0014,0.0001,0.1713,0.0017,8.885,0.7128,4.7166,21.225,21.59,11.5091,130.49,39.0797,adv,fav,-15.76,-6.1,-7.85,-29.58,-95.37
upside_buy,2026-08-09T21:35:00,0,65184.72,31.014,7.0,21.0,0.0015,0.0,-0.6132,0.0046,9.4,1.0724,3.9217,29.3721,254.99,33.8973,261.38,59.5747,adv,adv,-54.54,-14.78,-33.82,48.78,-234.41
upside_buy,2026-08-10T00:05:00,0,65011.06,30.387,7.0,0.0,0.002,-0.0004,0.0185,0.015,10.285,0.0598,2.7218,81.9336,259.0,0.6223,242.22,34.1965,fav,fav,155.9,77.51,-59.27,-160.08,-37.99
upside_buy,2026-08-10T01:45:00,0,65293.98,30.478,7.0,1.0,0.0041,0.0003,-0.1982,2.1248,10.985,0.6225,4.7064,95.9643,29.29,0.0312,448.44,35.6424,adv,adv,-118.68,-148.59,-210.24,-396.77,-217.28
upside_buy,2026-08-10T03:20:00,0,65091.82,30.039,7.0,3.0,0.0014,0.002,-0.0366,0.0,11.71,0.7803,2.5223,96.2521,29.61,0.518,197.47,32.6093,adv,adv,-5.27,-117.47,-81.37,-165.45,-103.52
upside_buy,2026-08-10T08:00:00,0,65232.58,30.182,7.0,8.0,0.0013,-0.0001,0.0154,0.0,15.665,1.7687,1.6853,53.6271,43.44,21.3435,103.51,57.6475,adv,adv,-18.16,-26.98,-15.99,-9.91,-85.19
upside_buy,2026-08-10T12:40:00,0,64952.93,30.695,7.0,12.0,0.0014,-0.004,0.421,0.1184,19.165,3.7393,1.4812,66.1779,1.45,1.5558,411.93,58.3905,adv,adv,-17.78,-44.54,-137.96,-118.9,-329.92
upside_buy,2026-08-10T14:00:00,0,64645.28,30.882,7.0,14.0,0.0021,0.003,-0.1621,0.0,20.155,2.3605,1.7029,116.2114,183.53,37.8002,125.7,55.5359,adv,fav,-8.52,-90.67,69.3,149.61,-27.59
upside_buy,2026-08-10T17:05:00,0,63899.25,30.924,7.0,17.0,0.0016,-0.0022,0.1363,0.0027,23.93,2.748,1.2284,115.1821,61.79,31.7202,94.81,35.1619,adv,neither,9.88,-17.57,-6.98,15.8,5.79
upside_buy,2026-08-11T06:55:00,0,63916.61,30.593,7.0,7.0,0.0015,-0.0018,0.5306,0.0,20.835,1.5079,2.6991,50.0836,126.76,52.0943,85.42,19.8435,fav,adv,-7.93,22.97,-51.48,-59.18,77.75
upside_buy,2026-08-11T11:00:00,0,64297.64,30.503,7.0,11.0,0.0021,-0.0002,-0.0496,0.5214,20.225,0.6282,2.7596,57.2757,89.43,57.3071,44.84,4.1009,adv,fav,-0.68,-8.22,-21.13,-18.45,68.08
upside_buy,2026-08-11T13:55:00,0,64119.94,30.634,7.0,14.0,0.0015,0.0004,-0.1965,0.0,19.675,2.2681,1.5254,89.1879,86.74,15.7,478.14,57.3554,fav,adv,4.95,17.94,52.49,-210.04,-419.26
upside_buy,2026-08-11T15:55:00,0,63519.38,30.694,7.0,16.0,0.002,0.0005,0.0395,0.0,19.77,2.3875,1.0085,125.2464,80.28,10.497,133.44,46.482,fav,adv,-2.38,47.77,4.46,-15.47,-71.1
upside_buy,2026-08-11T19:15:00,0,63279.8,30.458,7.0,19.0,0.0012,0.0011,0.1781,0.0,19.725,2.9534,1.3001,87.6979,380.65,47.1165,30.28,4.7607,fav,fav,13.08,6.2,5.87,41.31,271.95
upside_buy,2026-08-11T22:00:00,0,63665.32,30.569,7.0,22.0,0.0013,0.0002,-0.2901,0.0013,20.085,1.1931,2.3201,48.3464,37.58,12.1382,169.68,59.5378,adv,adv,-7.28,-21.46,-1.6,-4.14,-155.19
upside_buy,2026-08-12T02:25:00,0,63827.06,30.817,7.0,2.0,0.0014,-0.0014,0.4276,0.0472,20.44,0.6369,3.8273,51.5164,-7.0,0.0,188.57,46.7614,adv,adv,-29.19,-64.94,-116.95,-102.49,-153.38
upside_buy,2026-08-12T04:20:00,0,63798.32,31.662,7.0,4.0,0.0011,0.0001,0.4201,0.095,20.865,0.7392,2.6418,51.7293,3.96,0.8944,139.69,39.9931,adv,adv,-16.12,-101.28,-123.61,-38.65,-29.01
upside_buy,2026-08-12T06:55:00,0,63656.86,30.162,7.0,7.0,0.0012,-0.0002,-0.0849,0.008,21.57,2.2106,2.1396,56.93,119.26,59.2804,90.21,45.8066,fav,fav,-16.66,35.99,9.22,-0.32,92.29
upside_buy,2026-08-12T07:55:00,0,63761.15,30.239,7.0,8.0,0.0013,0.0012,-0.2006,0.0,21.57,0.3434,3.5516,53.7779,43.31,6.9636,56.42,32.5389,adv,adv,-49.36,2.49,-41.64,-30.65,-39.39
upside_buy,2026-08-12T09:15:00,0,63879.24,30.86,7.0,9.0,0.0015,0.0003,0.25,2.2772,21.915,0.6928,3.8613,47.1164,280.25,42.3065,47.84,2.0649,adv,adv,-22.23,45.13,54.99,136.22,147.92
upside_buy,2026-08-12T12:25:00,0,64132.11,30.151,7.0,12.0,0.0024,0.0001,0.0943,0.544,22.865,4.4773,1.0212,65.8071,151.2,3.9843,290.95,58.1419,fav,fav,-36.47,-5.37,-134.16,-54.63,-216.72
upside_buy,2026-08-12T15:00:00,0,63385.17,30.602,7.0,15.0,0.0013,-0.0018,0.3493,1.2751,23.545,3.4605,0.9909,140.0414,117.78,37.9779,63.68,28.3572,fav,neither,10.78,2.4,52.37,43.82,8.89
upside_buy,2026-08-12T20:00:00,0,63448.75,30.407,7.0,20.0,0.0012,-0.0003,-0.017,0.0,23.25,-0.0133,3.4489,62.3614,143.28,55.5935,97.86,10.998,adv,adv,-45.79,-92.01,-42.98,35.04,55.03
upside_buy,2026-08-13T00:05:00,0,63514.43,30.624,7.0,0.0,0.0021,0.0003,-0.1437,0.003,23.985,0.3616,3.7565,57.1886,133.58,6.4164,89.46,35.6513,fav,fav,-1.9,22.95,29.71,-26.58,1.87
upside_buy,2026-08-13T01:35:00,0,63454.34,30.632,7.0,1.0,0.001,0.0002,-0.2749,0.0,24.33,1.7447,1.8572,68.0479,-1.28,0.2434,154.29,52.8503,adv,adv,-32.98,-124.35,-34.91,-73.92,-118.68
upside_buy,2026-08-13T02:40:00,0,63437.67,30.402,7.0,2.0,0.0011,0.0002,0.0053,0.0,24.64,0.2075,2.0626,65.025,131.24,34.5924,40.64,1.3382,adv,fav,-23.65,31.29,36.14,65.06,73.25
upside_buy,2026-08-13T05:05:00,0,63759.33,30.397,7.0,5.0,0.0013,0.0024,-0.1841,5.8975,24.945,0.8356,3.9814,59.815,184.32,5.5475,13.53,59.1077,fav,fav,28.54,67.21,129.48,107.47,-4.46
