set,slot_utc,robust,entry,entry_delay,spread,hour,r5,dOI,imb,liq,rng24,d_hi,d_lo,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,n1,n5,n15,n30,n60
primary,2026-08-12T19:20:00,0,63252.57,30.086,7.0,19.0,-0.001,0.0007,-0.0788,0.3132,23.105,3.6626,0.203,56.4157,191.85,39.9707,22.4,0.5168,fav,fav,5.29,45.69,45.85,58.16,176.62
primary,2026-08-12T21:55:00,1,63416.4,30.228,7.0,22.0,-0.0013,-0.0003,-0.2711,0.8188,23.525,2.679,0.8834,66.865,55.25,12.3709,124.63,42.1695,adv,adv,-71.5,-8.26,16.28,-7.7,-64.05
primary,2026-08-13T00:40:00,0,63452.87,30.395,7.0,0.0,-0.001,-0.0006,0.1712,0.0,24.11,3.2233,1.9417,61.6271,116.69,29.5282,128.41,42.3892,fav,fav,0.31,67.4,7.07,85.44,-122.88
primary,2026-08-13T01:40:00,1,63341.99,32.546,7.0,1.0,-0.0019,-0.0008,-0.3534,0.0,24.375,3.2077,0.1948,72.0357,105.67,9.6894,41.94,47.8184,adv,fav,-22.1,37.22,50.25,48.96,84.2
primary,2026-08-13T07:00:00,0,63819.86,30.863,7.0,7.0,-0.0012,0.0,-0.3708,0.0,25.15,1.2965,2.6041,49.7864,38.27,19.7123,35.73,53.0131,adv,neither,-1.64,-14.2,-29.36,6.87,8.33
primary,2026-08-13T09:10:00,0,63558.6,30.087,7.0,9.0,-0.001,-0.0021,0.0157,1.807,24.39,5.0449,0.1404,44.1457,198.9,44.5898,41.46,0.1829,adv,fav,-15.02,41.52,27.79,75.95,10.39
primary,2026-08-13T13:20:00,1,63536.29,30.362,7.0,13.0,-0.0017,-0.0015,0.425,0.0,22.91,2.8293,1.9445,72.6214,282.21,56.3525,60.61,6.168,adv,fav,23.85,-32.52,215.04,143.53,227.33
primary,2026-08-13T15:25:00,1,63560.88,30.028,7.0,15.0,-0.0026,-0.0003,-0.0724,0.4252,22.85,3.9646,0.3984,96.7207,128.88,13.2546,317.81,59.0133,fav,fav,26.56,52.6,92.14,-217.87,-221.02
primary,2026-08-13T16:25:00,1,63351.86,30.682,7.0,16.0,-0.0028,0.0008,-0.1745,2.7666,22.85,2.7639,0.8524,123.5207,22.03,5.3034,584.34,11.7114,adv,adv,-39.69,-2.96,-453.65,-295.57,-223.02
primary,2026-08-13T18:05:00,0,63139.96,30.577,7.0,18.0,-0.001,0.0012,-0.466,0.0,23.92,1.0244,1.2392,94.2593,298.29,58.3052,108.3,21.2586,adv,adv,-5.85,-4.98,-19.17,-63.7,238.04
primary,2026-08-13T19:10:00,0,63327.51,30.478,7.0,19.0,-0.0012,0.0014,0.2135,0.0,24.36,1.3843,3.5424,82.5279,70.38,53.1588,37.52,48.2982,fav,neither,5.76,10.63,-6.98,59.05,24.54
primary,2026-08-13T23:00:00,0,63401.71,30.33,7.0,23.0,-0.0011,-0.0,-0.0457,0.0,23.315,3.1617,0.2971,58.3007,46.59,55.5981,78.58,49.8063,fav,adv,2.28,28.29,2.59,2.15,31.91
primary,2026-08-14T00:25:00,1,63376.36,30.606,7.0,0.0,-0.0015,-0.0026,-0.3962,0.0,23.005,2.376,0.9411,52.845,158.1,35.6015,33.79,1.1888,adv,fav,-26.98,-25.55,72.57,78.83,43.72
primary,2026-08-14T02:55:00,0,63408.0,31.682,7.0,3.0,-0.0013,,0.0051,0.0,22.9,2.7293,0.1325,55.6221,102.21,18.8177,197.64,59.9791,adv,adv,-35.82,-23.33,13.94,-29.63,-195.05
primary,2026-08-14T06:50:00,1,62996.0,30.298,7.0,6.0,-0.002,0.0015,0.3251,2.651,22.88,5.3283,0.8464,63.8079,49.18,31.0998,127.62,2.9495,adv,adv,-5.2,-109.94,-11.86,38.57,-89.12
primary,2026-08-14T08:20:00,1,62741.28,30.997,7.0,8.0,-0.0017,0.0001,-0.1325,24.559,23.58,4.2982,0.7195,71.5186,129.36,34.1042,124.07,8.264,adv,adv,-40.6,-44.78,52.66,91.54,86.07
primary,2026-08-14T09:25:00,1,62724.21,30.384,7.0,9.0,-0.0018,0.0004,-0.3437,0.0,24.085,2.0513,1.4161,73.0893,126.77,46.3755,57.79,30.7202,adv,fav,-19.39,25.85,-17.06,-34.95,95.47
primary,2026-08-14T12:05:00,0,62737.02,32.64,7.0,12.0,-0.0011,0.0005,-0.3708,0.1,24.645,2.2098,0.2308,59.5336,107.8,21.5051,225.61,58.7217,adv,fav,-20.83,6.93,61.47,-15.41,-170.08
primary,2026-08-14T13:35:00,0,62595.82,31.433,7.0,13.0,-0.0011,-0.0006,0.0602,0.7583,25.115,1.6067,0.7791,103.8486,128.51,58.8297,107.1,41.0631,fav,adv,44.58,51.95,-59.03,-47.69,88.99
primary,2026-08-14T14:50:00,1,62590.81,30.15,7.0,14.0,-0.0014,0.0006,-0.2408,0.0,25.045,1.4432,1.0384,94.9429,402.47,51.4563,144.77,1.8884,adv,adv,-65.08,-47.01,21.95,96.75,380.0
primary,2026-08-14T17:35:00,0,63088.21,30.257,7.0,17.0,-0.0012,-0.0016,0.4145,0.0,24.185,1.658,0.9393,60.6743,-6.14,0.1601,221.21,54.1748,adv,adv,-19.82,-54.33,-120.55,-101.03,-165.2
primary,2026-08-14T18:45:00,0,62855.58,30.808,7.0,18.0,-0.0012,,0.7858,0.0,24.175,2.9535,0.545,69.4871,69.92,54.5279,118.27,28.9806,adv,adv,-22.62,-21.22,-68.12,-90.48,19.69
primary,2026-08-14T22:10:00,0,62781.16,31.597,7.0,22.0,-0.0012,0.0005,0.4417,0.0,23.805,2.6647,0.5802,43.6593,88.31,59.8477,59.29,1.708,adv,adv,-50.13,-20.29,-17.85,37.65,82.19
primary,2026-08-15T08:50:00,0,62914.71,30.693,7.0,8.0,-0.0011,0.0027,-0.7528,0.0,19.42,3.7349,0.917,28.8764,62.88,59.0148,68.67,9.1409,adv,adv,-25.24,-50.42,-35.16,-23.62,46.18
primary,2026-08-16T17:40:00,0,63066.22,30.592,7.0,17.0,-0.0011,0.0002,-0.6846,0.0,8.15,3.4031,0.3454,47.945,41.81,39.4117,27.07,27.5637,fav,neither,0.3,6.03,18.33,-6.48,1.92
primary,2026-08-16T22:35:00,0,62668.05,30.518,7.0,22.0,-0.0011,-0.0003,0.3678,4.3072,8.54,3.1759,0.3193,82.8021,255.41,21.9315,28.92,0.3445,fav,fav,-21.51,10.79,89.5,212.78,126.12
primary,2026-08-17T00:30:00,0,62714.99,30.54,7.0,0.0,-0.0013,0.0014,-0.3732,0.0021,9.13,2.4623,0.3696,64.1829,461.56,55.2459,39.33,1.3254,adv,fav,-21.65,1.04,66.0,303.32,419.58
primary,2026-08-17T01:50:00,1,63053.98,30.68,7.0,1.0,-0.0015,-0.0007,0.2934,0.0,9.48,1.3225,2.4796,95.3293,377.48,58.3056,89.2,12.6634,adv,fav,-3.57,3.2,-62.21,12.53,281.79
primary,2026-08-17T03:15:00,0,63298.63,30.832,7.0,3.0,-0.0011,0.0006,-0.242,0.0,10.22,1.592,3.3066,85.6343,163.82,48.5647,28.42,12.0375,fav,fav,-20.16,-12.03,-19.15,13.38,109.37
