ticket,direction,volume,entry_time_utc,entry_price,exit_time_utc,exit_price,duration_min,profit_usd,exit_reason,worst_drawdown_usd,worst_drawdown_pts,best_profit_usd,time_to_worst_min,time_to_best_min,hour_id,positions_open_at_entry,entry_atr14_h1,entry_atr14_m1,entry_balance,entry_ema200_m1,entry_ema20_h1,entry_ema20_m1,entry_ema50_h1,entry_ema50_m1,entry_equity,entry_h1_body_pts,entry_h1_candle,entry_h1_downwick_pts,entry_h1_forming,entry_h1_higher_high,entry_h1_lower_low,entry_h1_upwick_pts,entry_m15_candle,entry_m15_forming,entry_m1_body_pts,entry_m1_candle,entry_m1_downwick_pts,entry_m1_high_minus_prevhigh,entry_m1_low_minus_prevlow,entry_m1_upwick_pts,entry_m5_candle,entry_m5_forming,entry_minute_of_hour,entry_price_ask,entry_price_bid,entry_px_vs_ema200_m1,entry_px_vs_ema20_h1,entry_px_vs_ema20_m1,entry_px_vs_ema50_h1,entry_px_vs_ema50_m1,entry_range24h_pct,entry_rsi14_h1,entry_rsi14_m1,entry_spread_pts,entry_user_sl,entry_user_tp,exit_atr14_h1,exit_atr14_m1,exit_balance,exit_ema200_m1,exit_ema20_h1,exit_ema20_m1,exit_ema50_h1,exit_ema50_m1,exit_equity,exit_h1_body_pts,exit_h1_candle,exit_h1_downwick_pts,exit_h1_forming,exit_h1_higher_high,exit_h1_lower_low,exit_h1_upwick_pts,exit_m15_candle,exit_m15_forming,exit_m1_body_pts,exit_m1_candle,exit_m1_downwick_pts,exit_m1_high_minus_prevhigh,exit_m1_low_minus_prevlow,exit_m1_upwick_pts,exit_m5_candle,exit_m5_forming,exit_minute_of_hour,exit_price_ask,exit_price_bid,exit_px_vs_ema200_m1,exit_px_vs_ema20_h1,exit_px_vs_ema20_m1,exit_px_vs_ema50_h1,exit_px_vs_ema50_m1,exit_range24h_pct,exit_rsi14_h1,exit_rsi14_m1,exit_spread_pts
1051096248,BUY,0.04,2026-09-08T10:28:48,78810.78,2026-09-08T10:41:35,78632.7,12.8,-7.12,sl,-7.12,-178.1,1.35,12.2,1.2,496906,1,342.98,51.4,186.92,78572.54,78907.35,78789.11,79251.46,78718.87,186.69,329.01,green,94.64,green,True,False,48.44,red,green,6.02,green,9.75,-63.06,-6.6,3.5,green,red,28,78815.0,78805.0,above,below,above,below,above,1.9,38.0,62.1,10.0,0.0,0.0,343.49,39.82,179.8,78590.12,78907.35,78724.11,79251.46,78715.58,179.8,329.01,green,94.64,red,True,False,48.44,green,red,52.08,red,8.56,-1.38,-44.66,0.0,red,red,41,78656.97,78646.97,above,below,below,below,below,1.904,38.0,18.3,10.0
1051108362,SELL,0.05,2026-09-08T10:52:06,78612.79000000001,2026-09-08T10:58:34,78569.68,6.5,2.16,tp,-0.43,-8.6,2.68,-0.1,5.9,496906,1,345.18,27.92,179.8,78595.0,78907.35,78664.21,79251.46,78687.32,179.49,329.01,green,94.64,red,True,False,48.44,red,red,30.31,red,1.81,-15.71,-15.0,2.46,red,red,52,78619.01,78609.01,above,below,below,below,below,1.905,38.0,30.5,10.0,0.0,0.0,348.74,21.11,181.96,78594.78,78907.35,78630.12,79251.46,78666.64,181.96,329.01,green,94.64,red,True,False,48.44,red,red,1.1,red,7.26,-17.72,-3.66,1.1,red,red,58,78569.12,78559.12,below,below,below,below,below,1.906,38.0,22.1,10.0
1051150138,SELL,0.06,2026-09-08T12:04:01,78245.31,2026-09-08T13:02:27,78484.86,58.4,-14.37,sl,-13.77,-229.6,3.85,58.0,10.0,496908,1,346.4,54.02,181.96,78496.49,78827.17,78353.02,79191.23,78400.0,180.77,136.82,red,139.84,red,False,True,21.83,red,red,42.74,red,18.19,-18.77,-23.46,14.79,green,red,4,78265.22,78255.22,below,below,below,below,below,1.913,36.1,35.1,10.0,0.0,0.0,338.83,52.24,167.59,78422.32,78788.22,78384.58,79161.04,78357.01,167.59,17.66,green,219.19,green,False,True,33.94,green,green,39.31,green,0.0,36.7,44.52,7.7,red,green,2,78484.06,78474.06,above,below,above,below,above,1.908,39.7,72.9,10.0
1051208157,BUY,0.07,2026-09-08T13:06:08,78517.94,2026-09-08T13:31:19,78251.64,25.2,-18.65,sl,-18.64,-266.3,0.0,24.9,0.9,496909,1,341.43,46.14,167.59,78424.35,78788.22,78414.64,79161.04,78374.33,167.12,17.66,green,219.19,green,False,True,33.94,green,green,15.27,green,24.47,13.48,-3.49,7.51,green,green,6,78521.22,78511.22,above,below,above,below,above,1.907,39.7,72.5,10.0,0.0,0.0,350.25,49.24,148.94,78411.86,78788.22,78343.28,79161.04,78363.15,148.94,17.66,green,219.19,red,False,True,33.94,red,red,23.11,green,29.72,5.98,-27.69,12.85,red,red,31,78261.64,78251.64,below,below,below,below,below,1.871,39.7,32.2,10.0
1051229609,SELL,0.05,2026-09-08T13:32:40,78138.31,2026-09-08T13:39:02,77901.95,6.4,11.82,tp,-5.11,-102.3,12.9,-0.7,6.3,496909,1,358.35,61.6,148.94,78408.45,78788.22,78317.63,79161.04,78351.63,148.04,17.66,green,219.19,red,False,True,33.94,red,red,154.01,red,14.68,-8.19,-115.09,3.89,red,red,32,78156.42,78146.42,below,below,below,below,below,1.774,39.7,25.0,10.0,0.0,0.0,376.77,93.77,160.76,78382.16,78788.22,78161.68,79161.04,78269.66,160.76,17.66,green,219.19,red,False,True,33.94,red,red,76.13,red,21.39,-67.18,-5.49,15.15,red,red,39,77905.61,77895.61,below,below,below,below,below,2.038,39.7,13.6,10.0
1051249556,SELL,0.02,2026-09-08T13:52:18,77687.07,2026-09-08T13:55:44,77939.3,3.4,-5.05,sl,-4.84,-242.2,1.95,2.7,-0.3,496909,1,394.97,107.42,160.76,78304.26,78788.22,77858.53,79161.04,78056.54,160.72,17.66,green,219.19,red,False,True,33.94,red,red,27.93,red,23.08,-119.83,-45.16,22.74,green,red,52,77697.07,77687.07,below,below,below,below,below,2.371,39.7,35.6,10.0,77932.35,0.0,397.53,109.38,155.71,78289.44,78788.22,77846.03,79161.04,78028.06,155.71,17.66,green,219.19,red,False,True,33.94,red,green,96.47,green,23.17,95.3,50.05,0.0,red,green,55,77939.3,77929.3,below,below,above,below,below,2.41,39.7,63.6,10.0
1051264631,BUY,0.01,2026-09-08T14:10:53,78081.13,2026-09-08T14:18:56,78268.42,8.1,1.87,tp,-0.76,-75.7,2.03,-0.9,7.1,496910,1,391.03,92.16,155.71,78246.95,78706.71,77966.28,79112.87,78010.67,155.6,487.98,red,342.3,green,True,True,92.27,green,green,19.37,red,24.17,-12.54,36.09,0.0,green,green,10,78080.45,78070.45,below,below,above,below,above,2.405,29.4,57.9,10.0,0.0,0.0,406.18,82.33,157.58,78241.71,78706.71,78090.38,79112.87,78057.85,157.58,487.98,red,342.3,green,True,True,92.27,green,green,7.53,red,32.93,-15.1,6.45,16.14,green,green,18,78294.5,78284.5,above,below,above,below,above,2.399,29.4,81.0,10.0
1051297997,BUY,0.02,2026-09-08T15:05:05,78505.01,2026-09-08T15:44:51,78699.12,39.8,3.88,manual,-1.55,-77.4,5.16,25.9,38.9,496911,1,427.35,64.0,157.58,78304.77,78690.25,78491.34,79090.19,78387.34,156.46,602.54,green,120.88,red,True,False,70.81,green,red,82.61,red,16.02,-40.4,-30.06,0.0,red,red,5,78459.14,78449.14,above,below,below,below,above,2.394,38.1,42.4,10.0,0.0,0.0,437.44,57.01,161.46,78385.34,78690.25,78576.64,79090.19,78522.73,160.96,602.54,green,120.88,green,True,False,70.81,red,green,29.33,green,2.2,38.81,37.33,26.92,green,green,44,78700.77,78690.77,above,above,above,below,above,2.386,38.1,83.4,10.0
1051320015,BUY,0.02,2026-09-08T15:44:25,78715.82,2026-09-08T16:40:26,78925.89,56.0,4.2,tp,-3.13,-156.7,4.92,36.6,55.6,496911,2,437.44,57.01,157.58,78385.49,78690.25,78578.07,79090.19,78523.32,161.4,602.54,green,120.88,green,True,False,70.81,red,green,29.33,green,2.2,38.81,37.33,26.92,green,green,44,78715.78,78705.78,above,above,above,below,above,2.386,38.1,84.0,10.0,0.0,0.0,435.59,53.82,165.66,78525.45,78709.29,78726.28,79082.45,78687.66,165.66,356.67,green,106.11,green,True,False,2.66,red,green,56.1,green,12.34,49.52,43.65,0.0,green,green,40,78964.16,78954.16,above,above,above,below,above,2.378,42.4,77.2,10.0
1051349000,BUY,0.02,2026-09-08T16:41:57,78885.82,2026-09-08T17:25:30,78544.87,43.5,-6.82,sl,-6.98,-348.9,0.81,43.0,-0.9,496912,1,435.82,55.4,165.66,78528.69,78709.29,78738.28,79082.45,78694.06,165.52,356.67,green,106.11,red,True,False,2.66,red,green,53.24,green,7.38,97.18,64.55,40.45,green,green,41,78888.93,78878.93,above,above,above,below,above,2.381,42.4,71.8,10.0,78528.56,0.0,440.08,37.29,158.84,78596.99,78710.57,78649.13,79068.36,78693.85,158.84,167.65,red,163.67,red,True,False,74.74,red,red,7.22,green,20.25,-32.7,-18.41,0.09,red,red,25,78549.34,78539.34,below,below,below,below,below,2.391,47.0,13.7,10.0
1051375580,SELL,0.02,2026-09-08T17:46:53,78560.95,2026-09-08T18:07:19,78659.15000000001,20.4,-1.96,sl,-1.88,-94.2,1.73,20.1,13.1,496913,1,442.52,39.89,158.84,78592.1,78710.57,78576.02,79068.36,78623.41,158.6,167.65,red,163.67,red,True,False,74.74,red,green,29.12,green,11.46,6.07,-3.27,14.29,red,green,46,78573.09,78563.09,below,below,below,below,below,2.39,47.0,53.5,10.0,0.0,0.0,438.43,41.24,156.88,78584.99,78689.98,78562.53,79045.91,78585.34,156.88,226.8,red,15.03,green,False,True,166.7,red,green,38.35,green,0.0,36.57,52.75,0.0,green,green,7,78661.87,78651.87,above,below,above,below,above,2.388,44.3,54.2,10.0
1051386671,BUY,0.02,2026-09-08T18:25:15,78774.52,2026-09-08T18:37:18,78618.5,12.1,-3.12,sl,-3.21,-160.6,0.18,11.8,-0.2,496914,1,449.29,38.55,156.88,78604.68,78689.98,78697.71,79045.91,78650.1,156.68,226.8,red,15.03,green,False,True,166.7,green,green,21.53,green,2.81,33.56,6.16,36.1,green,red,25,78774.52,78764.52,above,above,above,below,above,2.384,44.3,77.2,10.0,0.0,0.0,449.29,37.5,153.76,78614.77,78689.98,78689.38,79045.91,78665.85,153.76,226.8,red,15.03,green,False,True,166.7,green,red,7.27,red,16.34,-40.49,-10.71,15.8,red,red,37,78623.94,78613.94,above,below,below,below,below,2.389,44.3,23.0,10.0
1051395485,SELL,0.02,2026-09-08T18:48:49,78407.71,2026-09-08T18:50:22,78409.17,1.6,-0.03,sl,-2.27,-113.7,2.23,-0.8,0.2,496914,1,454.6,49.19,153.76,78610.12,78689.98,78603.87,79045.91,78630.75,153.36,226.8,red,15.03,red,False,True,166.7,red,red,117.89,red,15.01,-2.58,-94.46,2.5,green,red,48,78427.29,78417.29,below,below,below,below,below,2.395,44.3,19.3,10.0,0.0,0.0,462.03,57.89,153.73,78604.69,78689.98,78556.3,79045.91,78608.25,153.73,226.8,red,15.03,red,False,True,166.7,red,red,33.55,red,24.81,-146.77,-38.08,20.18,red,green,50,78417.1,78407.1,below,below,below,below,below,2.395,44.3,30.2,10.0
