entry_time_utc,kind,dir,entry,sl,tp,stop_dist,age_min,exit_time_utc,exit,why,pnl_002,R,month
2023-09-14T01:05:01,cont,BUY,26549.23,26464.98,26616.63,84.25,18.0,2023-09-14T01:06:44,26464.16,sl,-1.7014,-1.0097,2023-09
2023-09-15T00:25:01,flip,SELL,26482.42,26635.5,26359.96,153.08,0.0,2023-09-15T04:07:54,26635.75,sl,-3.0666,-1.0016,2023-09
2023-09-15T05:42:01,flip,SELL,26599.68,26654.7,26555.66,55.02,0.0,2023-09-15T09:00:55,26655.78,sl,-1.122,-1.0196,2023-09
2023-09-15T11:40:01,flip,SELL,26481.4,26536.56,26437.27,55.16,0.0,2023-09-15T11:58:09,26437.27,tp,0.8826,0.8,2023-09
2023-09-15T12:33:01,cont,SELL,26417.19,26471.5,26373.74,54.31,53.0,2023-09-15T12:38:40,26373.74,tp,0.869,0.8,2023-09
2023-09-15T22:31:01,flip,BUY,26519.87,26493.1,26541.29,26.77,0.0,2023-09-15T22:36:19,26541.29,tp,0.4283,0.8,2023-09
2023-09-15T22:37:01,cont,BUY,26581.58,26506.29,26641.81,75.29,6.0,2023-09-15T22:39:51,26641.81,tp,1.2046,0.8,2023-09
2023-09-15T23:08:01,cont,BUY,26848.18,26737.12,26937.03,111.06,37.0,2023-09-15T23:16:10,26736.22,sl,-2.2392,-1.0081,2023-09
2023-09-15T23:29:02,flip,SELL,26672.69,26734.44,26623.29,61.75,0.0,2023-09-15T23:32:58,26735.51,sl,-1.2564,-1.0173,2023-09
2023-09-15T23:46:01,cont,SELL,26661.72,26729.08,26607.83,67.36,17.0,2023-09-15T23:58:04,26607.83,tp,1.0778,0.8,2023-09
2023-09-16T00:04:01,cont,SELL,26588.88,26625.72,26559.41,36.84,35.0,2023-09-16T00:07:07,26626.48,sl,-0.752,-1.0206,2023-09
2023-09-16T00:20:01,flip,BUY,26658.29,26592.43,26710.98,65.86,0.0,2023-09-16T02:10:40,26710.98,tp,1.0538,0.8,2023-09
2023-09-16T08:40:01,flip,BUY,26541.26,26505.5,26569.87,35.76,0.0,2023-09-16T08:56:16,26504.51,sl,-0.735,-1.0277,2023-09
2023-09-16T09:33:01,cont,BUY,26556.9,26500.75,26601.82,56.15,53.0,2023-09-16T10:00:22,26499.6,sl,-1.146,-1.0205,2023-09
2023-09-16T12:46:01,flip,BUY,26568.01,26502.22,26620.64,65.79,0.0,2023-09-16T14:47:44,26501.43,sl,-1.3316,-1.012,2023-09
2023-09-16T15:01:01,flip,SELL,26482.62,26519.21,26453.35,36.59,0.0,2023-09-16T15:03:03,26519.69,sl,-0.7414,-1.0131,2023-09
2023-09-16T15:23:01,flip,BUY,26547.5,26509.53,26577.88,37.97,0.0,2023-09-16T16:02:32,26509.51,sl,-0.7598,-1.0005,2023-09
2023-09-16T16:27:01,flip,SELL,26506.27,26528.24,26488.69,21.97,0.0,2023-09-16T16:33:19,26528.4,sl,-0.4426,-1.0073,2023-09
2023-09-16T16:42:01,flip,BUY,26541.43,26519.05,26559.33,22.38,0.0,2023-09-16T17:07:20,26518.57,sl,-0.4572,-1.0214,2023-09
2023-09-16T17:26:01,cont,BUY,26551.65,26511.55,26583.73,40.1,44.0,2023-09-16T17:42:26,26583.73,tp,0.6416,0.8,2023-09
2023-09-16T17:43:01,cont,BUY,26615.35,26548.18,26669.09,67.17,61.0,2023-09-16T19:07:48,26547.33,sl,-1.3604,-1.0127,2023-09
2023-09-16T19:46:02,flip,SELL,26517.97,26548.18,26493.8,30.21,0.0,2023-09-16T19:54:41,26548.36,sl,-0.6078,-1.006,2023-09
2023-09-16T20:17:01,flip,BUY,26560.04,26529.74,26584.28,30.3,0.0,2023-09-16T20:20:41,26529.07,sl,-0.6194,-1.0221,2023-09
2023-09-16T20:41:02,cont,BUY,26563.56,26521.92,26596.87,41.64,24.0,2023-09-16T20:50:12,26521.26,sl,-0.846,-1.0159,2023-09
2023-09-16T21:24:01,cont,BUY,26574.11,26520.85,26616.72,53.26,67.0,2023-09-16T23:20:46,26520.23,sl,-1.0776,-1.0116,2023-09
2023-09-17T00:16:01,cont,SELL,26501.18,26562.21,26452.36,61.03,58.0,2023-09-17T01:09:01,26452.36,tp,0.9765,0.8,2023-09
2023-09-17T04:47:01,flip,BUY,26547.63,26508.93,26578.59,38.7,0.0,2023-09-17T07:45:57,26508.23,sl,-0.788,-1.0181,2023-09
2023-09-17T07:50:01,flip,SELL,26506.48,26518.49,26496.87,12.01,0.0,2023-09-17T08:07:52,26518.85,sl,-0.2474,-1.03,2023-09
2023-09-17T08:46:01,flip,BUY,26548.75,26526.16,26566.82,22.59,0.0,2023-09-17T09:52:22,26566.82,tp,0.3614,0.8,2023-09
2023-09-17T09:53:01,cont,BUY,26573.1,26538.08,26601.12,35.02,67.0,2023-09-17T10:47:28,26601.12,tp,0.5603,0.8,2023-09
2023-09-17T11:51:01,flip,SELL,26575.56,26614.09,26544.74,38.53,0.0,2023-09-17T13:54:19,26544.74,tp,0.6165,0.8,2023-09
2023-09-17T18:15:01,flip,BUY,26518.15,26492.83,26538.41,25.32,0.0,2023-09-17T20:29:14,26492.08,sl,-0.5214,-1.0296,2023-09
2023-09-17T20:30:02,cont,SELL,26491.53,26518.15,26470.23,26.62,68.0,2023-09-17T20:33:05,26518.17,sl,-0.5328,-1.0008,2023-09
2023-09-17T20:42:01,cont,SELL,26482.27,26513.55,26457.25,31.28,80.0,2023-09-17T20:58:57,26457.25,tp,0.5005,0.8,2023-09
2023-09-17T20:59:01,cont,SELL,26432.49,26472.55,26400.44,40.06,97.0,2023-09-17T21:18:08,26473.25,sl,-0.8152,-1.0175,2023-09
2023-09-17T21:42:01,flip,BUY,26501.82,26458.48,26536.49,43.34,0.0,2023-09-17T22:07:53,26458.14,sl,-0.8736,-1.0078,2023-09
2023-09-17T23:46:01,flip,BUY,26509.39,26449.4,26557.38,59.99,0.0,2023-09-18T00:30:35,26448.15,sl,-1.2248,-1.0208,2023-09
2023-09-18T13:25:01,flip,SELL,27299.28,27356.12,27253.81,56.84,0.0,2023-09-18T13:39:34,27356.53,sl,-1.145,-1.0072,2023-09
2023-09-18T13:43:01,cont,SELL,27266.47,27345.17,27203.51,78.7,18.0,2023-09-18T14:08:20,27203.51,tp,1.2592,0.8,2023-09
2023-09-18T14:09:01,cont,SELL,27156.68,27291.95,27048.46,135.27,44.0,2023-09-18T14:27:51,27293.21,sl,-2.7306,-1.0093,2023-09
2023-09-18T15:15:01,flip,BUY,27325.99,27274.69,27367.03,51.3,0.0,2023-09-18T15:45:22,27367.03,tp,0.8208,0.8,2023-09
2023-09-18T15:52:01,flip,SELL,27273.15,27375.95,27190.91,102.8,0.0,2023-09-18T17:10:45,27190.91,tp,1.6448,0.8,2023-09
2023-09-18T17:11:01,cont,SELL,27187.15,27281.75,27111.47,94.6,79.0,2023-09-18T17:19:50,27111.47,tp,1.5136,0.8,2023-09
2023-09-19T08:40:01,flip,BUY,26986.04,26678.51,27232.06,307.53,0.0,2023-09-19T09:26:11,27232.06,tp,4.9205,0.8,2023-09
2023-09-19T09:35:01,cont,BUY,27357.88,27298.98,27405.0,58.9,55.0,2023-09-19T09:41:51,27405.0,tp,0.9424,0.8,2023-09
2023-09-19T10:09:01,flip,SELL,27220.36,27338.17,27126.11,117.81,0.0,2023-09-19T10:28:16,27126.11,tp,1.885,0.8,2023-09
2023-09-21T14:18:01,flip,BUY,26525.62,26473.62,26567.22,52.0,0.0,2023-09-21T14:37:30,26567.22,tp,0.832,0.8,2023-09
2023-09-21T14:53:01,cont,BUY,26586.82,26546.58,26619.01,40.24,35.0,2023-09-21T15:35:00,26545.83,sl,-0.8198,-1.0186,2023-09
2023-09-21T15:48:01,cont,BUY,26624.87,26539.22,26693.39,85.65,90.0,2023-09-21T17:54:58,26693.39,tp,1.3704,0.8,2023-09
2023-09-21T19:13:01,flip,SELL,26568.67,26597.39,26545.69,28.72,0.0,2023-09-21T19:13:45,26599.08,sl,-0.6082,-1.0588,2023-09
2023-09-21T19:48:01,flip,BUY,26619.61,26572.16,26657.57,47.45,0.0,2023-09-21T20:08:14,26572.12,sl,-0.9498,-1.0008,2023-09
2023-09-22T00:28:01,flip,SELL,26508.72,26634.22,26408.32,125.5,0.0,2023-09-22T00:33:56,26635.09,sl,-2.5274,-1.0069,2023-09
2023-09-22T00:54:01,flip,BUY,26665.23,26605.7,26712.85,59.53,0.0,2023-09-22T01:07:08,26605.24,sl,-1.1998,-1.0077,2023-09
2023-09-22T02:37:01,flip,SELL,26577.44,26676.43,26498.25,98.99,0.0,2023-09-22T04:38:21,26676.73,sl,-1.9858,-1.003,2023-09
2023-09-22T07:56:01,flip,BUY,26701.98,26575.26,26803.36,126.72,0.0,2023-09-22T13:04:00,26575.22,sl,-2.5352,-1.0003,2023-09
2023-09-22T19:03:01,flip,BUY,26628.97,26576.15,26671.23,52.82,0.0,2023-09-22T19:42:36,26575.74,sl,-1.0646,-1.0078,2023-09
2023-09-22T19:51:01,flip,SELL,26559.57,26572.66,26549.1,13.09,0.0,2023-09-22T19:51:01,26572.66,sl,-0.2618,-1.0,2023-09
2023-09-22T20:46:01,cont,SELL,26520.23,26571.28,26479.39,51.05,55.0,2023-09-22T21:43:54,26571.94,sl,-1.0342,-1.0129,2023-09
2023-09-22T22:02:01,cont,BUY,26588.85,26559.98,26611.95,28.87,29.0,2023-09-22T22:08:16,26558.88,sl,-0.5994,-1.0381,2023-09
2023-09-22T23:24:01,cont,BUY,26598.33,26540.72,26644.42,57.61,111.0,2023-09-23T02:30:42,26539.5,sl,-1.1766,-1.0212,2023-09
