entry_time_utc,kind,dir,entry,sl,tp,stop_dist,age_min,exit_time_utc,exit,why,pnl_002,R,month
2025-02-23T13:17:01,flip,BUY,96009.89,95895.7,96101.24,114.19,0.0,2025-02-23T13:19:08,95894.78,sl,-2.3022,-1.0081,2025-02
2025-02-23T13:26:01,flip,SELL,95801.47,95908.64,95715.73,107.17,0.0,2025-02-23T13:33:30,95911.03,sl,-2.1912,-1.0223,2025-02
2025-02-23T13:48:01,flip,BUY,95977.45,95896.04,96042.58,81.41,0.0,2025-02-23T13:59:59,96042.58,tp,1.3026,0.8,2025-02
2025-02-23T14:06:01,cont,BUY,96091.94,95969.47,96189.92,122.47,18.0,2025-02-23T14:31:41,95966.34,sl,-2.512,-1.0256,2025-02
2025-02-23T14:54:01,flip,SELL,95775.25,95936.84,95645.98,161.59,0.0,2025-02-23T14:58:44,95645.98,tp,2.5854,0.8,2025-02
2025-02-23T15:46:01,cont,SELL,95574.54,95771.03,95417.35,196.49,52.0,2025-02-23T17:13:35,95417.35,tp,3.1438,0.8,2025-02
2025-02-23T17:53:01,flip,BUY,95723.37,95570.74,95845.47,152.63,0.0,2025-02-23T18:19:14,95845.47,tp,2.4421,0.8,2025-02
2025-02-24T01:12:01,flip,SELL,96199.83,96574.27,95900.28,374.44,0.0,2025-02-24T01:41:46,95900.28,tp,5.991,0.8,2025-02
2025-02-24T03:01:01,cont,SELL,95770.08,96264.73,95374.36,494.65,109.0,2025-02-24T04:28:57,95374.36,tp,7.9144,0.8,2025-02
2025-02-24T05:11:01,flip,BUY,95498.42,95247.0,95699.56,251.42,0.0,2025-02-24T05:34:08,95699.56,tp,4.0227,0.8,2025-02
2025-02-24T05:54:01,cont,BUY,95793.63,95702.22,95866.76,91.41,43.0,2025-02-24T06:17:12,95697.97,sl,-1.9132,-1.0465,2025-02
2025-02-24T06:37:01,cont,BUY,95856.66,95681.42,95996.85,175.24,86.0,2025-02-24T07:05:24,95996.85,tp,2.8038,0.8,2025-02
2025-02-24T08:16:01,flip,SELL,95777.64,96010.25,95591.55,232.61,0.0,2025-02-24T08:23:37,95591.55,tp,3.7218,0.8,2025-02
2025-02-25T01:39:01,flip,BUY,92282.38,91173.35,93169.6,1109.03,0.0,2025-02-25T07:06:37,91172.65,sl,-22.1946,-1.0006,2025-02
2025-02-25T12:10:01,flip,BUY,89315.79,89001.88,89566.92,313.91,0.0,2025-02-25T12:37:31,88992.38,sl,-6.4682,-1.0303,2025-02
2025-02-25T13:38:01,flip,SELL,88815.61,89579.37,88204.6,763.76,0.0,2025-02-25T14:40:36,88204.6,tp,12.2202,0.8,2025-02
2025-02-25T15:01:01,cont,SELL,86495.31,87451.68,85730.21,956.37,83.0,2025-02-25T15:03:04,87457.9,sl,-19.2518,-1.0065,2025-02
2025-02-25T15:21:01,cont,SELL,86338.45,87410.0,85481.21,1071.55,103.0,2025-02-25T15:51:35,87413.81,sl,-21.5072,-1.0036,2025-02
2025-02-25T16:52:01,cont,BUY,87695.29,86122.33,88953.66,1572.96,66.0,2025-02-25T22:03:44,88953.66,tp,25.1674,0.8,2025-02
2025-02-26T13:18:01,flip,SELL,87501.79,88044.43,87067.68,542.64,0.0,2025-02-26T13:58:37,87067.68,tp,8.6822,0.8,2025-02
2025-02-26T15:10:01,flip,BUY,87899.48,87416.89,88285.55,482.59,0.0,2025-02-26T15:12:00,88285.55,tp,7.7214,0.8,2025-02
2025-02-26T16:17:01,flip,SELL,86353.28,86897.9,85917.58,544.62,0.0,2025-02-26T16:27:17,86900.08,sl,-10.936,-1.004,2025-02
2025-02-26T16:41:01,flip,BUY,87229.83,86760.52,87605.28,469.31,0.0,2025-02-26T16:59:26,86756.44,sl,-9.4678,-1.0087,2025-02
2025-02-26T17:21:01,flip,SELL,86627.48,87231.21,86144.5,603.73,0.0,2025-02-26T17:50:17,86144.5,tp,9.6597,0.8,2025-02
2025-02-26T17:52:01,cont,SELL,86118.8,86604.6,85730.16,485.8,31.0,2025-02-26T17:55:19,85730.16,tp,7.7728,0.8,2025-02
2025-02-26T18:29:01,cont,SELL,85409.64,86393.4,84622.63,983.76,68.0,2025-02-26T18:37:13,84622.63,tp,15.7402,0.8,2025-02
2025-02-27T01:29:01,flip,BUY,85392.95,83906.86,86581.82,1486.09,0.0,2025-02-27T06:41:07,86581.82,tp,23.7774,0.8,2025-02
2025-02-27T08:42:01,flip,SELL,85903.72,86129.39,85723.18,225.67,0.0,2025-02-27T09:01:08,86131.7,sl,-4.5596,-1.0102,2025-02
2025-02-27T10:07:01,flip,BUY,86404.41,85824.9,86868.02,579.51,0.0,2025-02-27T10:55:31,86868.02,tp,9.2722,0.8,2025-02
2025-02-27T13:33:01,flip,SELL,86192.0,86658.41,85818.87,466.41,0.0,2025-02-27T13:39:25,86662.86,sl,-9.4172,-1.0095,2025-02
2025-02-27T13:51:01,cont,SELL,85790.35,86751.2,85021.67,960.85,18.0,2025-02-27T14:58:03,85021.67,tp,15.3736,0.8,2025-02
2025-02-27T15:39:01,flip,BUY,85878.12,85376.58,86279.35,501.54,0.0,2025-02-27T16:19:43,85374.17,sl,-10.079,-1.0048,2025-02
2025-02-27T16:33:01,flip,SELL,84733.01,85026.69,84498.07,293.68,0.0,2025-02-27T16:43:16,85034.87,sl,-6.0372,-1.0279,2025-02
2025-02-27T16:52:01,cont,SELL,84529.67,85016.41,84140.28,486.74,19.0,2025-02-27T17:30:31,85021.68,sl,-9.8402,-1.0108,2025-02
2025-02-27T20:51:01,flip,BUY,83472.89,82944.79,83895.37,528.1,0.0,2025-02-27T21:15:29,83895.37,tp,8.4496,0.8,2025-02
