episode_end_utc,entry_utc,n_buckets,total_btc,long_btc,short_btc,q95,dir(-1=forced selling),atr14,cont1,cont5,cont15,cont30,cont60,rev1,rev5,rev15,rev30,rev60,mfe60,mae60,fp1atr,oi_chg_pct,taker_imb
2026-08-20T08:50:00,2026-08-20T08:50:00,1,23.799,0.0,23.799,22.615,1,126.78,65.79,140.56,-36.5,234.47,263.01,-89.79,-164.56,12.5,-258.47,-287.01,436.25,149.58,favourable,0.091,-0.185
2026-08-20T09:10:00,2026-08-20T09:10:00,1,34.609,0.0,34.609,23.346,1,142.52,37.68,63.77,134.97,11.07,-25.95,-61.68,-87.77,-158.97,-35.07,1.95,205.68,187.19,adverse,0.036,0.023
2026-08-20T10:20:00,2026-08-20T10:20:00,1,77.447,0.0,77.447,24.065,1,123.86,-89.47,-161.34,-521.33,-545.72,-526.59,65.47,137.34,497.33,521.72,502.59,104.92,642.69,adverse,-0.168,-0.337
2026-08-20T15:05:00,2026-08-20T15:05:00,1,46.24,0.0,46.24,24.179,1,122.93,-191.4,-156.47,-85.33,176.23,12.46,167.4,132.47,61.33,-200.23,-36.46,531.46,351.08,adverse,0.199,-0.068
2026-08-20T15:35:00,2026-08-20T15:35:00,1,25.763,0.523,25.241,24.56,1,143.78,-166.99,-263.86,-161.81,-175.77,-102.34,142.99,239.86,137.81,151.77,78.34,69.87,345.57,adverse,-0.035,-0.134
2026-08-21T00:20:00,2026-08-21T00:20:00,1,57.969,0.0,57.969,23.063,1,152.87,8.92,145.38,80.38,117.77,989.41,-32.92,-169.38,-104.38,-141.77,-1013.41,1254.31,117.91,favourable,0.459,-0.209
2026-08-21T01:20:00,2026-08-21T01:20:00,1,129.608,0.0,129.608,23.686,1,154.2,-187.16,-166.36,122.59,908.02,63.34,163.16,142.36,-146.59,-932.02,-87.34,1144.69,382.75,adverse,0.025,-0.114
2026-08-21T01:50:00,2026-08-21T01:50:00,1,34.56,0.073,34.488,24.293,1,198.92,-133.01,-209.06,-508.57,-856.68,-1120.07,109.01,185.06,484.57,832.68,1096.07,30.22,1131.73,adverse,-0.727,0.161
2026-08-21T02:05:00,2026-08-21T02:05:00,1,26.658,26.658,0.0,24.56,-1,134.84,40.58,149.57,336.11,275.08,678.6,-64.58,-173.57,-360.11,-299.08,-702.6,751.0,129.33,favourable,-0.752,0.165
2026-08-21T07:20:00,2026-08-21T07:20:00,1,62.967,0.587,62.38,24.521,1,204.76,-34.0,-246.3,-108.43,-35.81,695.26,10.0,222.3,84.43,11.81,-719.26,813.77,259.84,adverse,-0.814,0.119
