entry_time_utc,kind,dir,entry,sl,tp,risk_usd,exit_time_utc,exit,why,pnl
2026-07-20T22:35:01,flip,SELL,65067.95,65211.78,64952.89,2.88,2026-07-20T23:17:53,65213.3,sl,-2.91
2026-07-20T23:56:01,flip,BUY,65227.02,65118.46,65313.87,2.17,2026-07-21T00:02:12,65117.85,sl,-2.18
2026-07-21T00:18:53,touch,BUY,65229.93,65103.94,65330.72,2.52,2026-07-21T00:21:44,65330.72,tp,2.02
2026-07-21T00:50:12,touch,BUY,65512.59,65428.79,65579.63,1.68,2026-07-21T01:09:06,65579.63,tp,1.34
2026-07-21T01:09:08,touch,BUY,65590.1,65433.82,65715.12,3.13,2026-07-21T01:18:01,65433.03,sl,-3.14
2026-07-21T01:31:01,flip,SELL,65338.49,65438.77,65258.27,2.01,2026-07-21T01:37:13,65439.45,sl,-2.02
2026-07-21T01:43:26,touch,SELL,65288.77,65435.36,65171.5,2.93,2026-07-21T02:15:59,65171.5,tp,2.35
2026-07-21T03:52:01,flip,BUY,65499.97,65383.21,65593.38,2.34,2026-07-21T04:03:48,65593.38,tp,1.87
2026-07-21T05:48:39,touch,BUY,65699.51,65430.47,65914.74,5.38,2026-07-21T06:35:40,65914.74,tp,4.3
2026-07-21T10:50:01,flip,SELL,66266.13,66370.22,66182.86,2.08,2026-07-21T10:50:35,66182.86,tp,1.67
2026-07-21T11:04:41,touch,SELL,66128.1,66163.89,66099.47,0.72,2026-07-21T11:05:22,66165.35,sl,-0.74
2026-07-21T11:37:01,flip,BUY,66258.94,66199.16,66306.76,1.2,2026-07-21T11:42:28,66306.76,tp,0.96
2026-07-21T11:49:43,touch,BUY,66317.04,66268.87,66355.58,0.96,2026-07-21T12:01:01,66261.08,sl,-1.12
2026-07-21T12:06:59,touch,BUY,66320.22,66218.43,66401.65,2.04,2026-07-21T12:12:26,66401.65,tp,1.63
2026-07-21T12:18:01,touch,BUY,66387.14,66299.49,66457.26,1.75,2026-07-21T12:21:33,66457.26,tp,1.4
2026-07-21T12:32:20,touch,BUY,66471.79,66376.02,66548.41,1.92,2026-07-21T12:37:53,66548.41,tp,1.53
2026-07-21T12:37:54,touch,BUY,66550.4,66440.25,66638.52,2.2,2026-07-21T12:47:16,66436.95,sl,-2.27
2026-07-21T13:15:29,touch,BUY,66620.56,66448.06,66758.56,3.45,2026-07-21T13:23:04,66440.12,sl,-3.61
2026-07-21T13:41:01,flip,SELL,66318.98,66475.05,66194.12,3.12,2026-07-21T13:48:52,66477.64,sl,-3.17
2026-07-22T16:34:01,flip,BUY,66232.85,65554.15,66775.81,13.57,2026-07-23T03:26:12,65553.59,sl,-13.59
2026-07-23T07:12:01,flip,SELL,65361.85,65793.74,65016.34,8.64,2026-07-23T12:46:21,65016.34,tp,6.91
2026-07-23T20:06:01,flip,BUY,64907.77,64642.8,65119.75,5.3,2026-07-23T20:28:02,65119.75,tp,4.24
2026-07-23T20:40:01,flip,SELL,65063.96,65103.06,65032.68,0.78,2026-07-23T20:50:58,65103.26,sl,-0.79
2026-07-23T21:07:37,touch,SELL,65040.9,65137.05,64963.98,1.92,2026-07-23T21:13:26,64963.98,tp,1.54
2026-07-24T01:35:01,flip,BUY,65079.11,64976.0,65161.6,2.06,2026-07-24T02:33:36,64974.54,sl,-2.09
2026-07-24T03:05:59,touch,BUY,65153.96,64882.88,65370.82,5.42,2026-07-24T03:48:18,65370.82,tp,4.34
2026-07-24T10:54:01,flip,SELL,64859.48,65108.47,64660.29,4.98,2026-07-24T13:01:44,64660.29,tp,3.98
2026-07-24T13:30:28,touch,SELL,64292.69,64458.43,64160.1,3.31,2026-07-24T13:42:11,64160.1,tp,2.65
2026-07-24T13:50:29,touch,SELL,64126.8,64384.22,63920.86,5.15,2026-07-24T13:53:48,63920.86,tp,4.12
2026-07-24T14:17:28,touch,SELL,63840.31,64124.98,63612.57,5.69,2026-07-24T15:16:29,64132.18,sl,-5.84
2026-07-25T18:02:01,flip,BUY,64288.47,63727.43,64737.3,11.22,2026-07-26T15:36:29,64737.3,tp,8.98
2026-07-26T15:36:30,touch,BUY,64747.24,64667.92,64810.7,1.59,2026-07-26T16:05:33,64667.13,sl,-1.6
2026-07-26T20:18:01,flip,SELL,64602.66,64743.48,64490.0,2.82,2026-07-26T21:25:00,64746.67,sl,-2.88
2026-07-26T22:33:01,flip,BUY,65329.52,65100.39,65512.82,4.58,2026-07-26T23:09:19,65512.82,tp,3.67
2026-07-27T00:05:01,flip,SELL,65232.23,65410.6,65089.53,3.57,2026-07-27T00:18:45,65089.53,tp,2.85
2026-07-27T00:24:14,touch,SELL,65061.71,65128.97,65007.9,1.35,2026-07-27T00:25:22,65130.41,sl,-1.37
2026-07-27T00:54:11,touch,SELL,65051.38,65131.47,64987.31,1.6,2026-07-27T01:02:46,65133.03,sl,-1.63
2026-07-27T01:13:42,touch,SELL,64991.83,65150.7,64864.73,3.18,2026-07-27T01:35:30,64864.73,tp,2.54
2026-07-27T01:35:32,touch,SELL,64842.3,65026.08,64695.28,3.68,2026-07-27T01:39:04,65027.32,sl,-3.7
2026-07-27T01:59:01,flip,BUY,65161.53,65079.15,65227.43,1.65,2026-07-27T02:30:25,65076.84,sl,-1.69
2026-07-27T02:36:44,touch,BUY,65172.81,65052.59,65268.99,2.4,2026-07-27T03:23:46,65268.99,tp,1.92
2026-07-27T03:43:23,touch,BUY,65299.31,65192.48,65384.77,2.14,2026-07-27T04:11:31,65191.59,sl,-2.15
2026-07-27T06:49:01,flip,SELL,65396.72,65524.93,65294.15,2.56,2026-07-27T07:08:38,65294.15,tp,2.05
2026-07-27T07:30:59,touch,SELL,65261.68,65390.38,65158.72,2.57,2026-07-27T08:01:47,65158.72,tp,2.06
2026-07-27T08:10:07,touch,SELL,65114.57,65191.22,65053.25,1.53,2026-07-27T08:17:58,65191.24,sl,-1.53
2026-07-27T08:34:41,touch,SELL,65095.84,65205.83,65007.85,2.2,2026-07-27T09:33:13,65206.83,sl,-2.22
2026-07-27T10:22:01,flip,BUY,65283.03,65167.83,65375.19,2.3,2026-07-27T10:45:22,65375.19,tp,1.84
2026-07-27T11:14:01,flip,SELL,65196.6,65259.92,65145.94,1.27,2026-07-27T11:23:18,65145.94,tp,1.01
2026-07-27T11:26:28,touch,SELL,65120.32,65154.0,65093.38,0.67,2026-07-27T11:29:58,65093.38,tp,0.54
2026-07-27T11:48:18,touch,SELL,65067.95,65156.04,64997.48,1.76,2026-07-27T12:04:48,65160.32,sl,-1.85
2026-07-27T12:13:41,touch,SELL,65011.61,65197.84,64862.63,3.72,2026-07-27T12:32:25,64862.63,tp,2.98
2026-07-27T17:21:01,flip,BUY,64995.25,64713.49,65220.66,5.64,2026-07-27T18:40:01,64712.5,sl,-5.66
2026-07-27T22:02:01,flip,SELL,64625.25,65006.96,64319.88,7.63,2026-07-27T22:40:41,64319.88,tp,6.11
2026-07-27T22:57:16,touch,SELL,63900.19,63995.49,63823.95,1.91,2026-07-27T22:57:41,63823.95,tp,1.52
2026-07-27T23:42:09,touch,SELL,63582.17,63875.67,63347.37,5.87,2026-07-28T01:05:05,63347.37,tp,4.7
2026-07-28T16:51:01,flip,BUY,63896.27,63641.25,64100.29,5.1,2026-07-28T17:20:02,63640.77,sl,-5.11
2026-07-29T08:24:01,flip,SELL,64251.86,64321.47,64196.17,1.39,2026-07-29T08:43:38,64322.13,sl,-1.41
2026-07-29T09:39:01,flip,BUY,64505.63,64303.97,64666.96,4.03,2026-07-29T09:57:58,64666.96,tp,3.23
2026-07-29T09:58:00,touch,BUY,64647.64,64435.72,64817.18,4.24,2026-07-29T10:51:30,64434.61,sl,-4.26
2026-07-29T11:40:01,flip,SELL,64344.92,64521.81,64203.41,3.54,2026-07-29T12:18:07,64203.41,tp,2.83
2026-07-29T12:51:36,touch,SELL,64220.28,64273.37,64177.81,1.06,2026-07-29T12:58:37,64177.81,tp,0.85
2026-07-29T13:05:30,touch,SELL,64151.43,64202.04,64110.94,1.01,2026-07-29T13:06:11,64204.3,sl,-1.06
2026-07-29T13:23:16,touch,SELL,64092.45,64157.29,64040.58,1.3,2026-07-29T13:27:07,64161.08,sl,-1.37
2026-07-29T13:43:01,flip,BUY,64345.92,64061.83,64573.19,5.68,2026-07-29T13:59:52,64573.19,tp,4.55
2026-07-29T13:59:53,touch,BUY,64587.3,64234.52,64869.52,7.06,2026-07-29T14:13:06,64234.24,sl,-7.06
2026-07-29T14:26:01,flip,SELL,64129.17,64324.22,63973.13,3.9,2026-07-29T14:43:49,63973.13,tp,3.12
2026-07-29T15:18:58,touch,SELL,63956.13,64177.44,63779.08,4.43,2026-07-29T16:36:26,63779.08,tp,3.54
2026-07-30T01:46:01,flip,BUY,64036.11,63525.77,64444.38,10.21,2026-07-30T09:28:03,64444.38,tp,8.17
2026-07-30T10:08:29,touch,BUY,64550.63,64474.6,64611.45,1.52,2026-07-30T10:37:41,64474.57,sl,-1.52
2026-07-31T02:02:01,flip,SELL,64459.62,64595.24,64351.12,2.71,2026-07-31T02:16:20,64351.12,tp,2.17
2026-07-31T02:22:34,touch,SELL,64302.9,64379.97,64241.24,1.54,2026-07-31T02:37:24,64241.24,tp,1.23
2026-07-31T03:05:44,touch,SELL,64140.93,64296.17,64016.74,3.1,2026-07-31T03:20:04,64299.26,sl,-3.17
2026-07-31T10:53:01,flip,BUY,63855.19,63810.12,63891.25,0.9,2026-07-31T11:02:04,63891.25,tp,0.72
2026-07-31T11:32:01,flip,SELL,63810.07,63901.62,63736.83,1.83,2026-07-31T11:57:52,63736.83,tp,1.46
2026-07-31T11:57:53,touch,SELL,63741.02,63788.19,63703.28,0.94,2026-07-31T12:04:18,63703.28,tp,0.75
2026-07-31T12:19:32,touch,SELL,63635.53,63667.53,63609.93,0.64,2026-07-31T12:20:07,63667.72,sl,-0.64
2026-07-31T12:23:09,touch,SELL,63634.99,63685.79,63594.35,1.02,2026-07-31T12:25:19,63686.22,sl,-1.02
2026-07-31T12:29:01,flip,BUY,63697.33,63651.5,63733.99,0.92,2026-07-31T12:30:01,63650.05,sl,-0.95
2026-07-31T12:43:01,flip,SELL,63569.03,63655.99,63499.46,1.74,2026-07-31T12:48:52,63658.09,sl,-1.78
2026-07-31T13:16:01,flip,BUY,63726.88,63634.28,63800.96,1.85,2026-07-31T13:30:17,63631.2,sl,-1.91
2026-07-31T13:42:01,flip,SELL,63430.71,63687.01,63225.67,5.13,2026-07-31T13:51:42,63225.67,tp,4.1
2026-08-02T04:34:01,flip,BUY,63500.42,63255.78,63696.13,4.89,2026-08-02T08:38:41,63255.58,sl,-4.9
2026-08-02T09:03:01,flip,SELL,63086.48,63165.53,63023.24,1.58,2026-08-02T09:09:27,63167.44,sl,-1.62
2026-08-02T09:25:01,flip,BUY,63226.7,63184.21,63260.69,0.85,2026-08-02T09:27:47,63183.67,sl,-0.86
2026-08-02T09:33:15,touch,BUY,63259.53,63159.18,63339.81,2.01,2026-08-02T10:11:01,63158.21,sl,-2.03
2026-08-02T10:12:01,flip,SELL,63146.43,63249.76,63063.77,2.07,2026-08-02T10:26:07,63063.77,tp,1.65
2026-08-02T11:43:56,touch,SELL,63034.34,63143.06,62947.36,2.17,2026-08-02T11:56:48,62947.36,tp,1.74
2026-08-02T16:43:01,flip,BUY,63187.8,62931.88,63392.54,5.12,2026-08-02T18:41:24,63392.54,tp,4.09
2026-08-03T01:14:02,flip,SELL,63116.25,63331.48,62944.07,4.3,2026-08-03T03:45:48,62944.07,tp,3.44
2026-08-03T09:34:01,flip,BUY,62614.76,62524.91,62686.64,1.8,2026-08-03T09:55:10,62686.64,tp,1.44
2026-08-03T11:09:01,flip,SELL,62500.41,62700.51,62340.33,4.0,2026-08-03T11:22:44,62700.82,sl,-4.01
2026-08-03T11:56:06,touch,SELL,62503.11,62698.14,62347.09,3.9,2026-08-03T12:45:00,62699.0,sl,-3.92
2026-08-03T13:50:01,flip,BUY,62907.51,62472.47,63255.54,8.7,2026-08-03T13:59:08,63255.54,tp,6.96
2026-08-03T14:10:39,touch,BUY,63323.69,63072.14,63524.93,5.03,2026-08-03T14:28:10,63524.93,tp,4.02
2026-08-03T14:40:37,touch,BUY,63828.44,63575.0,64031.19,5.07,2026-08-03T15:58:24,63574.89,sl,-5.07
2026-08-03T21:55:01,flip,SELL,63553.88,63612.53,63506.96,1.17,2026-08-03T21:56:16,63506.96,tp,0.94
2026-08-03T22:02:05,touch,SELL,63515.87,63557.62,63482.47,0.84,2026-08-03T22:02:44,63482.47,tp,0.67
2026-08-04T01:19:01,flip,BUY,63438.39,63353.84,63506.03,1.69,2026-08-04T01:24:00,63506.03,tp,1.35
2026-08-04T01:30:46,touch,BUY,63522.27,63395.56,63623.64,2.53,2026-08-04T01:34:34,63623.64,tp,2.03
2026-08-04T02:36:35,touch,BUY,63830.93,63612.26,64005.87,4.37,2026-08-04T03:15:06,63610.46,sl,-4.41
2026-08-04T10:16:01,flip,SELL,63391.37,63694.03,63149.24,6.05,2026-08-04T10:45:22,63694.8,sl,-6.07
2026-08-04T11:45:01,flip,BUY,63804.56,63639.92,63936.27,3.29,2026-08-04T12:38:14,63936.27,tp,2.63
2026-08-04T12:38:15,touch,BUY,63962.76,63717.14,64159.26,4.91,2026-08-04T13:47:29,63717.09,sl,-4.91
2026-08-05T21:24:01,flip,SELL,64630.28,64757.39,64528.59,2.54,2026-08-05T23:00:20,64528.59,tp,2.03
2026-08-06T01:47:01,flip,BUY,64559.12,64488.75,64615.42,1.41,2026-08-06T02:03:40,64488.2,sl,-1.42
2026-08-06T02:17:01,flip,SELL,64469.97,64593.06,64371.5,2.46,2026-08-06T02:20:19,64371.5,tp,1.97
2026-08-06T05:02:01,flip,BUY,64708.66,64565.33,64823.32,2.87,2026-08-06T05:05:35,64823.32,tp,2.29
2026-08-06T10:11:01,flip,SELL,64528.36,64646.23,64434.06,2.36,2026-08-06T12:08:44,64434.06,tp,1.89
2026-08-06T12:08:46,touch,SELL,64426.12,64584.93,64299.07,3.18,2026-08-06T13:02:13,64299.07,tp,2.54
2026-08-06T14:23:01,flip,BUY,64498.63,64334.93,64629.59,3.27,2026-08-06T14:30:04,64334.21,sl,-3.29
2026-08-06T14:35:06,touch,BUY,64521.17,64281.46,64712.94,4.79,2026-08-06T14:42:51,64712.94,tp,3.84
2026-08-06T14:42:53,touch,BUY,64719.22,64493.16,64900.07,4.52,2026-08-06T15:10:11,64900.07,tp,3.62
2026-08-06T16:27:01,flip,SELL,64541.6,64654.11,64451.59,2.25,2026-08-06T16:37:40,64655.63,sl,-2.28
