ticket,direction,volume,entry_time_utc,entry_price,exit_time_utc,exit_price,duration_min,profit_usd,exit_reason,worst_drawdown_usd,worst_drawdown_pts,best_profit_usd,time_to_worst_min,time_to_best_min,hour_id,positions_open_at_entry,entry_atr14_h1,entry_atr14_m1,entry_balance,entry_ema200_m1,entry_ema20_h1,entry_ema20_m1,entry_ema50_h1,entry_ema50_m1,entry_equity,entry_h1_body_pts,entry_h1_candle,entry_h1_downwick_pts,entry_h1_forming,entry_h1_higher_high,entry_h1_lower_low,entry_h1_upwick_pts,entry_m15_candle,entry_m15_forming,entry_m1_body_pts,entry_m1_candle,entry_m1_downwick_pts,entry_m1_high_minus_prevhigh,entry_m1_low_minus_prevlow,entry_m1_upwick_pts,entry_m5_candle,entry_m5_forming,entry_minute_of_hour,entry_price_ask,entry_price_bid,entry_px_vs_ema200_m1,entry_px_vs_ema20_h1,entry_px_vs_ema20_m1,entry_px_vs_ema50_h1,entry_px_vs_ema50_m1,entry_range24h_pct,entry_rsi14_h1,entry_rsi14_m1,entry_spread_pts,exit_atr14_h1,exit_atr14_m1,exit_balance,exit_ema200_m1,exit_ema20_h1,exit_ema20_m1,exit_ema50_h1,exit_ema50_m1,exit_equity,exit_h1_body_pts,exit_h1_candle,exit_h1_downwick_pts,exit_h1_forming,exit_h1_higher_high,exit_h1_lower_low,exit_h1_upwick_pts,exit_m15_candle,exit_m15_forming,exit_m1_body_pts,exit_m1_candle,exit_m1_downwick_pts,exit_m1_high_minus_prevhigh,exit_m1_low_minus_prevlow,exit_m1_upwick_pts,exit_m5_candle,exit_m5_forming,exit_minute_of_hour,exit_price_ask,exit_price_bid,exit_px_vs_ema200_m1,exit_px_vs_ema20_h1,exit_px_vs_ema20_m1,exit_px_vs_ema50_h1,exit_px_vs_ema50_m1,exit_range24h_pct,exit_rsi14_h1,exit_rsi14_m1,exit_spread_pts,entry_user_sl,entry_user_tp,final_user_sl,final_user_tp
1043157022,BUY,0.02,2026-08-23T13:10:01,77247.8,2026-08-23T13:17:41,77397.8,7.7,3.0,tp,-0.35,-17.4,3.57,-0.0,7.0,496525,1,444.18,22.32,132.3,76981.08,76851.35,77196.49,76341.66,77166.68,132.33,96.58,red,204.91,green,False,False,7.6,red,green,56.05,green,2.46,40.49,0.51,3.92,green,green,10,77259.67,77249.67,above,above,above,above,above,2.569,53.3,64.8,10.0,456.8,37.33,135.3,77004.37,76851.35,77263.15,76341.66,77205.72,135.3,96.58,red,204.91,green,False,False,7.6,green,green,13.77,green,3.3,-6.1,4.32,3.76,green,green,17,77402.0,77392.0,above,above,above,above,above,2.564,53.3,77.1,10.0,,,,
1043169763,BUY,0.02,2026-08-23T14:55:02,77251.11,2026-08-23T15:00:02,77204.64,5.0,-0.93,hour_flat,-2.9,-144.9,0.0,2.0,-0.0,496526,1,519.7,139.62,135.3,77247.7,76910.06,77224.27,76385.78,77312.54,134.93,274.83,green,20.17,red,True,False,294.46,red,green,72.57,green,9.24,96.88,3.71,59.11,green,red,55,77242.5,77232.5,below,above,above,above,below,2.847,56.3,42.9,10.0,502.89,76.47,134.37,77243.78,76935.37,77203.32,76416.75,77286.47,134.37,295.43,red,403.5,green,False,True,163.58,green,green,23.29,green,17.19,-7.35,1.25,5.58,red,green,0,77214.64,77204.64,below,above,above,above,below,2.848,48.4,64.5,10.0,,,,
1043174592,BUY,0.02,2026-08-23T15:44:02,77293.45,2026-08-23T16:00:02,77127.03,16.0,-3.33,hour_flat,-3.68,-184.1,0.27,14.0,-0.0,496527,1,531.16,47.11,134.37,77226.76,76935.37,77218.99,76416.75,77216.06,134.27,295.43,red,403.5,green,False,True,163.58,green,green,48.56,green,0.0,22.68,1.25,3.28,green,green,44,77298.44,77288.44,above,above,above,above,above,2.845,48.4,60.4,10.0,516.3,38.46,131.04,77217.08,76954.19,77166.53,76444.56,77188.91,131.04,51.24,red,228.2,green,False,False,145.01,red,green,14.14,green,2.89,7.97,0.46,29.32,red,green,0,77143.53,77133.53,below,above,below,above,below,2.851,49.3,39.6,10.0,,,,
1043176798,BUY,0.02,2026-08-23T16:17:01,77285.97,2026-08-23T16:51:49,77435.97,34.8,3.0,tp,-1.94,-96.8,3.02,3.0,34.0,496528,1,529.04,37.15,131.04,77219.85,76954.19,77228.66,76444.56,77212.82,130.91,51.24,red,228.2,green,False,False,145.01,green,green,43.06,green,5.37,53.99,6.0,33.61,green,green,17,77289.49,77279.49,above,above,above,above,above,2.845,49.3,59.8,10.0,537.99,38.34,134.04,77252.21,76954.19,77363.04,76444.56,77312.45,134.04,51.24,red,228.2,green,False,False,145.01,green,green,18.26,green,3.44,0.48,1.64,7.81,red,green,51,77446.5,77436.5,above,above,above,above,above,2.839,49.3,69.9,10.0,,,,
1043180558,BUY,0.02,2026-08-23T17:10:01,77330.84,2026-08-23T18:00:02,77180.56,50.0,-3.01,hour_flat,-4.04,-202.0,0.81,22.0,13.0,496529,1,539.56,62.68,134.04,77266.46,76996.15,77322.79,76481.82,77320.51,133.83,267.72,green,2.18,red,True,False,69.73,green,red,18.4,green,1.3,11.02,60.62,2.4,green,green,10,77330.42,77320.42,above,above,above,above,above,2.844,54.9,43.4,10.0,500.55,37.06,131.03,77257.5,77012.14,77218.81,76508.55,77245.26,131.03,230.56,red,41.74,green,False,True,37.02,red,green,47.31,red,0.0,-0.26,-28.95,5.89,red,green,0,77190.56,77180.56,below,above,below,above,below,2.849,53.5,34.4,10.0,,,,
1043186255,BUY,0.02,2026-08-23T18:27:02,77374.95,2026-08-23T19:00:01,77354.44,33.0,-0.41,hour_flat,-2.72,-136.0,0.54,20.0,1.0,496530,1,520.9,43.18,131.03,77261.36,77012.14,77302.07,76508.55,77273.41,130.75,230.56,red,41.74,green,False,True,37.02,green,green,19.26,green,0.0,14.34,38.45,5.71,red,green,27,77370.76,77360.76,above,above,above,above,above,2.842,53.5,53.8,10.0,439.36,32.93,130.62,77274.99,77042.52,77306.27,76540.81,77298.72,130.62,172.46,green,70.81,green,False,True,70.3,green,green,24.35,green,1.35,22.58,20.21,0.0,green,green,0,77364.44,77354.44,above,above,above,above,above,2.842,61.0,57.2,10.0,,,,
1043188501,BUY,0.02,2026-08-23T19:15:02,77319.44,2026-08-23T19:45:19,77469.44,30.3,3.0,tp,-1.79,-89.7,3.28,18.0,30.0,496531,1,449.98,36.19,130.62,77279.66,77042.52,77303.76,76540.81,77302.28,130.49,172.46,green,70.81,red,False,True,70.3,red,green,21.09,green,0.0,21.04,55.81,4.68,green,green,15,77323.1,77313.1,above,above,above,above,above,2.844,61.0,40.7,10.0,455.83,41.57,133.62,77298.65,77042.52,77363.5,76540.81,77340.12,133.62,172.46,green,70.81,green,False,True,70.3,green,green,3.8,green,15.14,24.7,43.69,23.45,green,green,45,77461.4,77451.4,above,above,above,above,above,2.839,61.0,81.1,10.0,,,,
1043266977,BUY,0.01,2026-08-24T00:34:01,77468.0,2026-08-24T00:34:16,77478.0,0.2,0.1,tp,-0.36,-36.2,0.13,-0.0,-0.0,496536,2,464.04,69.15,133.62,77562.45,77259.45,77462.18,76729.36,77520.53,133.49,128.68,green,325.35,red,False,True,91.53,red,green,33.7,green,10.03,53.39,55.02,21.37,red,green,34,77469.09,77459.09,below,above,above,above,below,3.214,70.1,44.0,10.0,464.04,71.39,133.72,77562.66,77259.45,77464.26,76729.36,77521.39,133.9,128.68,green,325.35,red,False,True,91.53,red,green,33.7,green,10.03,53.39,55.02,21.37,red,green,34,77490.9,77480.9,below,above,above,above,below,3.213,70.1,46.3,10.0,,,,
1043266980,BUY,0.01,2026-08-24T00:34:02,77462.52,2026-08-24T01:00:01,77687.32,26.0,2.24,hour_flat,-3.27,-326.6,2.25,12.0,26.0,496536,2,464.04,69.15,133.62,77562.45,77259.45,77462.18,76729.36,77520.53,133.49,128.68,green,325.35,red,False,True,91.53,red,green,33.7,green,10.03,53.39,55.02,21.37,red,green,34,77469.09,77459.09,below,above,above,above,below,3.214,70.1,44.0,10.0,424.61,77.56,135.96,77534.41,77299.13,77494.79,76766.49,77479.2,135.96,53.23,red,540.41,green,False,True,13.56,green,green,74.05,green,5.18,75.05,57.99,0.0,green,green,0,77697.32,77687.32,above,above,above,above,above,3.204,66.1,92.4,10.0,,,,
1043327272,BUY,0.01,2026-08-24T03:24:01,77220.19,2026-08-24T03:24:18,77230.19,0.3,0.1,tp,-0.18,-17.7,0.46,-0.0,-0.0,496539,2,496.1,48.5,135.96,77363.05,77282.46,77227.01,76799.75,77288.17,135.65,560.46,green,46.78,red,False,True,74.72,red,green,57.14,green,2.02,59.53,0.39,17.22,red,green,24,77215.06,77205.06,below,below,below,above,below,3.224,54.0,38.5,10.0,496.1,52.4,136.06,77363.66,77282.46,77232.82,76799.75,77290.56,136.51,560.46,green,46.78,red,False,True,74.72,red,green,57.14,green,2.02,59.53,0.39,17.22,red,green,24,77276.06,77266.06,below,below,above,above,below,3.222,54.0,46.8,10.0,,,,
