t,time,kind,d,age_min,elig_2h,dist,stop_atr,stop_med60,stop_r15,stop_r30,stop_r60,dist_from_flip,ordinal,pnl,pnl_R,const_risk_pnl,why,spread_frac,cost_frac
1784574120,2026-07-20T19:02:00,flip,-1,0.0,1,68.37,1.473,1.663,0.528,0.195,0.111,0.0,1,1.0939,0.8,3.2,tp,0.1024,0.1755
1784575620,2026-07-20T19:27:00,cont,-1,25.0,1,118.89,2.748,2.81,0.877,0.555,0.216,124.91,3,-2.4214,-1.0183,-4.0733,sl,0.0589,0.1009
1784578320,2026-07-20T20:12:00,flip,1,0.0,1,161.98,3.868,4.25,0.963,0.963,0.887,0.0,1,2.5917,0.8,3.2,tp,0.0432,0.0741
1784583240,2026-07-20T21:34:00,cont,1,82.0,1,152.86,6.019,6.978,1.023,0.896,0.896,229.45,4,-3.0996,-1.0139,-4.0555,sl,0.0458,0.0785
1784586840,2026-07-20T22:34:00,flip,-1,0.0,1,143.83,5.449,5.522,0.955,0.955,0.422,0.0,1,-2.907,-1.0106,-4.0423,sl,0.0487,0.0834
1784591700,2026-07-20T23:55:00,flip,1,0.0,1,108.56,3.954,5.05,1.065,1.065,0.716,0.0,1,-2.1834,-1.0056,-4.0225,sl,0.0645,0.1105
1784593080,2026-07-21T00:18:00,cont,1,23.0,1,129.54,3.116,4.882,1.049,0.989,0.989,4.72,2,2.0726,0.8,3.2,tp,0.054,0.0926
1784595420,2026-07-21T00:57:00,cont,1,62.0,1,101.33,2.364,2.253,0.874,0.421,0.23,311.6,3,1.6213,0.8,3.2,tp,0.0691,0.1184
1784597400,2026-07-21T01:30:00,flip,-1,0.0,1,100.28,2.547,2.297,0.642,0.35,0.342,0.0,1,-2.0192,-1.0068,-4.0271,sl,0.0698,0.1197
1784598180,2026-07-21T01:43:00,cont,-1,13.0,1,146.14,3.575,3.771,0.903,0.584,0.423,52.56,2,2.3382,0.8,3.2,tp,0.0479,0.0821
1784600100,2026-07-21T02:15:00,cont,-1,45.0,1,206.43,4.312,5.662,0.992,0.992,0.631,177.76,3,-4.1474,-1.0046,-4.0182,sl,0.0339,0.0581
1784605860,2026-07-21T03:51:00,flip,1,0.0,1,116.76,3.59,3.525,1.153,1.013,0.563,0.0,1,1.8682,0.8,3.2,tp,0.06,0.1028
1784612880,2026-07-21T05:48:00,cont,1,117.0,1,392.3,7.542,12.947,1.011,0.868,0.845,352.91,2,6.2768,0.8,3.2,tp,0.0178,0.0306
1784620020,2026-07-21T07:47:00,cont,1,236.0,0,178.37,3.032,5.474,0.733,0.51,0.469,652.66,5,2.8539,0.8,3.2,tp,0.0392,0.0673
1784623140,2026-07-21T08:39:00,cont,1,288.0,0,170.26,3.503,3.744,0.994,0.707,0.489,812.26,8,-3.4152,-1.0029,-4.0117,sl,0.0411,0.0705
1784628600,2026-07-21T10:10:00,cont,1,379.0,0,252.66,7.406,9.647,2.039,2.039,1.003,840.66,9,4.0426,0.8,3.2,tp,0.0277,0.0475
1784637420,2026-07-21T12:37:00,cont,1,61.0,1,145.47,3.399,4.421,0.731,0.528,0.406,304.3,6,-2.9754,-1.0227,-4.0907,sl,0.0481,0.0825
1784639700,2026-07-21T13:15:00,cont,1,99.0,1,156.74,4.451,4.488,1.017,0.874,0.496,356.38,7,-3.2936,-1.0507,-4.2026,sl,0.0447,0.0766
1784641200,2026-07-21T13:40:00,flip,-1,0.0,1,156.07,2.677,3.961,0.763,0.5,0.5,0.0,1,-3.1732,-1.0166,-4.0664,sl,0.0449,0.0769
1784655960,2026-07-21T17:46:00,cont,-1,246.0,0,811.77,11.991,25.612,1.566,1.566,1.293,363.29,2,12.9883,0.8,3.2,tp,0.0086,0.0148
1784790660,2026-07-23T07:11:00,flip,-1,0.0,1,431.89,8.303,18.347,1.012,0.934,0.934,0.0,1,6.9102,0.8,3.2,tp,0.0162,0.0278
1784814420,2026-07-23T13:47:00,cont,-1,396.0,0,323.01,4.37,5.552,1.047,1.047,0.864,483.5,3,5.1682,0.8,3.2,tp,0.0217,0.0372
1784829480,2026-07-23T17:58:00,cont,-1,647.0,0,194.0,5.307,6.591,0.881,0.8,0.8,738.47,7,-3.8952,-1.0039,-4.0157,sl,0.0361,0.0619
1784837100,2026-07-23T20:05:00,flip,1,0.0,1,264.97,6.628,8.634,0.916,0.916,0.916,0.0,1,4.2395,0.8,3.2,tp,0.0264,0.0453
1784839140,2026-07-23T20:39:00,flip,-1,0.0,1,39.1,1.572,1.418,0.463,0.221,0.076,0.0,1,-0.786,-1.0051,-4.0205,sl,0.179,0.3069
1784840880,2026-07-23T21:08:00,cont,-1,29.0,1,94.96,4.013,4.347,0.769,0.769,0.45,21.13,2,1.5194,0.8,3.2,tp,0.0737,0.1264
1784851500,2026-07-24T00:05:00,cont,-1,206.0,0,258.72,8.253,11.699,1.492,0.995,0.96,157.11,3,-5.204,-1.0057,-4.0229,sl,0.0271,0.0464
1784864580,2026-07-24T03:43:00,cont,1,129.0,0,110.97,3.402,3.353,0.942,0.894,0.237,269.84,4,-2.3182,-1.0445,-4.1781,sl,0.0631,0.1081
1784873940,2026-07-24T06:19:00,cont,1,285.0,0,248.56,8.239,12.659,1.051,1.051,0.99,373.58,5,3.977,0.8,3.2,tp,0.0282,0.0483
1784890380,2026-07-24T10:53:00,flip,-1,0.0,1,248.99,9.545,9.734,1.707,1.535,0.971,0.0,1,3.9838,0.8,3.2,tp,0.0281,0.0482
1784899800,2026-07-24T13:30:00,cont,-1,56.0,1,202.64,3.803,4.816,0.861,0.441,0.267,686.53,3,3.2422,0.8,3.2,tp,0.0345,0.0592
1784902620,2026-07-24T14:17:00,cont,-1,103.0,1,302.68,4.047,4.696,0.944,0.624,0.453,1111.77,5,-6.1976,-1.0238,-4.0951,sl,0.0231,0.0396
1785002460,2026-07-25T18:01:00,flip,1,0.0,1,561.04,19.7,32.886,4.719,4.719,3.181,0.0,1,8.9766,0.8,3.2,tp,0.0125,0.0214
1785080160,2026-07-26T15:36:00,cont,1,116.0,1,95.16,4.168,4.235,0.861,0.563,0.499,295.06,4,-1.919,-1.0083,-4.0332,sl,0.0736,0.1261
1785083460,2026-07-26T16:31:00,cont,1,171.0,0,154.45,5.871,6.938,1.261,0.932,0.932,347.57,5,-3.0948,-1.0019,-4.0075,sl,0.0453,0.0777
1785097020,2026-07-26T20:17:00,flip,-1,0.0,1,140.82,10.939,12.224,2.636,2.428,1.36,0.0,1,-2.8802,-1.0227,-4.0906,sl,0.0497,0.0852
1785105120,2026-07-26T22:32:00,flip,1,0.0,1,229.13,4.155,5.859,0.905,0.724,0.367,0.0,1,3.6661,0.8,3.2,tp,0.0306,0.0524
1785110640,2026-07-27T00:04:00,flip,-1,0.0,1,178.37,4.508,4.842,0.991,0.939,0.56,0.0,1,2.8539,0.8,3.2,tp,0.0392,0.0673
1785112620,2026-07-27T00:37:00,cont,-1,33.0,1,120.03,2.692,3.044,0.792,0.747,0.323,171.22,2,1.9205,0.8,3.2,tp,0.0583,0.1
1785116100,2026-07-27T01:35:00,cont,-1,91.0,1,156.4,3.835,4.708,0.807,0.494,0.494,356.71,5,-3.1528,-1.0079,-4.0317,sl,0.0448,0.0767
1785117480,2026-07-27T01:58:00,flip,1,0.0,1,82.38,2.352,2.533,0.552,0.254,0.254,0.0,1,-1.6938,-1.028,-4.1122,sl,0.085,0.1457
1785119760,2026-07-27T02:36:00,cont,1,38.0,1,128.09,4.13,3.938,1.086,0.942,0.411,12.06,3,2.0494,0.8,3.2,tp,0.0546,0.0937
1785125220,2026-07-27T04:07:00,cont,1,129.0,0,119.99,4.327,4.958,1.053,1.053,0.595,150.24,6,-2.4176,-1.0074,-4.0297,sl,0.0583,0.1
1785125880,2026-07-27T04:18:00,cont,1,140.0,0,160.69,4.652,6.177,1.038,1.038,1.038,183.59,7,2.571,0.8,3.2,tp,0.0436,0.0747
1785132360,2026-07-27T06:06:00,cont,1,248.0,0,198.86,4.129,8.251,0.511,0.486,0.429,463.26,9,-4.0328,-1.014,-4.0559,sl,0.0352,0.0603
1785134880,2026-07-27T06:48:00,flip,-1,0.0,1,128.21,3.787,3.979,0.867,0.867,0.316,0.0,1,2.0514,0.8,3.2,tp,0.0546,0.0936
1785137400,2026-07-27T07:30:00,cont,-1,42.0,1,118.91,4.422,4.486,0.836,0.836,0.431,132.13,3,1.9026,0.8,3.2,tp,0.0589,0.1009
1785139140,2026-07-27T07:59:00,cont,-1,71.0,1,88.97,3.265,3.31,0.779,0.455,0.372,228.28,5,1.4235,0.8,3.2,tp,0.0787,0.1349
1785142320,2026-07-27T08:52:00,cont,-1,124.0,0,120.09,4.828,4.598,1.2,0.807,0.566,307.46,7,-2.4218,-1.0083,-4.0333,sl,0.0583,0.0999
1785147660,2026-07-27T10:21:00,flip,1,0.0,1,115.2,4.177,5.11,0.885,0.885,0.621,0.0,1,1.8432,0.8,3.2,tp,0.0608,0.1042
1785150780,2026-07-27T11:13:00,flip,-1,0.0,1,63.32,2.411,2.715,0.66,0.337,0.317,0.0,1,1.0131,0.8,3.2,tp,0.1105,0.1895
1785151560,2026-07-27T11:26:00,cont,-1,13.0,1,37.8,1.334,1.7,0.273,0.197,0.134,81.05,3,0.6048,0.8,3.2,tp,0.1852,0.3175
1785153060,2026-07-27T11:51:00,cont,-1,38.0,1,97.4,4.451,4.477,0.926,0.736,0.372,136.15,4,-2.0336,-1.0439,-4.1758,sl,0.0719,0.1232
1785154740,2026-07-27T12:19:00,cont,-1,66.0,1,195.2,4.336,7.047,0.977,0.977,0.947,193.14,5,3.1232,0.8,3.2,tp,0.0359,0.0615
1785162600,2026-07-27T14:30:00,cont,-1,197.0,0,1077.84,9.12,11.131,1.436,1.312,0.976,641.03,6,17.2454,0.8,3.2,tp,0.0065,0.0111
1785197220,2026-07-28T00:07:00,cont,-1,126.0,0,271.86,6.886,5.879,1.659,1.616,0.855,1023.79,5,4.3498,0.8,3.2,tp,0.0257,0.0441
1785200640,2026-07-28T01:04:00,cont,-1,183.0,0,151.4,2.835,2.855,1.038,0.556,0.395,1235.96,7,2.4224,0.8,3.2,tp,0.0462,0.0793
1785245940,2026-07-28T13:39:00,cont,-1,938.0,0,658.49,7.111,21.126,1.229,1.034,0.913,1725.04,8,-13.2006,-1.0023,-4.0094,sl,0.0106,0.0182
1785257400,2026-07-28T16:50:00,flip,1,0.0,1,255.02,5.78,6.175,1.302,1.211,1.211,0.0,1,-5.11,-1.0019,-4.0075,sl,0.0274,0.0471
1785283500,2026-07-29T00:05:00,cont,1,435.0,0,621.51,12.198,16.877,1.897,1.386,0.959,171.11,2,9.9442,0.8,3.2,tp,0.0113,0.0193
1785319020,2026-07-29T09:57:00,cont,1,19.0,1,210.92,5.364,7.619,0.892,0.678,0.563,158.06,2,-4.2406,-1.0053,-4.0211,sl,0.0332,0.0569
1785325140,2026-07-29T11:39:00,flip,-1,0.0,1,176.89,6.925,6.628,1.367,0.983,0.649,0.0,1,2.8302,0.8,3.2,tp,0.0396,0.0678
1785329460,2026-07-29T12:51:00,cont,-1,72.0,1,63.56,2.47,2.185,0.976,0.583,0.258,130.01,3,1.017,0.8,3.2,tp,0.1101,0.1888
1785331020,2026-07-29T13:17:00,cont,-1,98.0,1,125.16,3.265,4.104,0.86,0.771,0.622,212.06,4,-2.616,-1.0451,-4.1802,sl,0.0559,0.0959
1785332520,2026-07-29T13:42:00,flip,1,0.0,1,284.09,3.303,7.799,0.971,0.949,0.949,0.0,1,4.5454,0.8,3.2,tp,0.0246,0.0422
1785333540,2026-07-29T13:59:00,cont,1,17.0,1,370.75,3.877,6.078,1.016,0.69,0.681,241.22,2,-7.4206,-1.0008,-4.003,sl,0.0189,0.0324
1785335100,2026-07-29T14:25:00,flip,-1,0.0,1,195.05,2.424,2.562,0.778,0.376,0.332,0.0,1,3.1208,0.8,3.2,tp,0.0359,0.0615
1785338280,2026-07-29T15:18:00,cont,-1,53.0,1,215.67,3.856,3.523,1.432,0.975,0.574,176.86,3,3.4507,0.8,3.2,tp,0.0325,0.0556
1785342960,2026-07-29T16:36:00,cont,-1,131.0,0,221.3,3.708,4.959,0.73,0.73,0.639,352.86,5,3.5408,0.8,3.2,tp,0.0316,0.0542
1785354420,2026-07-29T19:47:00,cont,-1,322.0,0,1135.11,11.663,14.89,2.107,1.421,1.0,655.93,6,-22.7448,-1.0019,-4.0075,sl,0.0062,0.0106
1785411420,2026-07-30T11:37:00,cont,1,193.0,0,142.24,6.16,7.701,0.865,0.865,0.792,488.21,7,2.2758,0.8,3.2,tp,0.0492,0.0844
1785419280,2026-07-30T13:48:00,cont,1,324.0,0,395.25,5.739,11.919,1.021,1.021,1.021,876.51,8,-7.9438,-1.0049,-4.0196,sl,0.0177,0.0304
1785460140,2026-07-31T01:09:00,cont,1,1005.0,0,725.3,10.68,22.634,1.088,1.088,1.088,1171.98,9,-14.5344,-1.002,-4.0078,sl,0.0097,0.0165
1785463260,2026-07-31T02:01:00,flip,-1,0.0,1,135.62,2.055,2.452,0.455,0.215,0.143,0.0,1,2.1699,0.8,3.2,tp,0.0516,0.0885
1785464940,2026-07-31T02:29:00,cont,-1,28.0,1,97.42,2.32,2.039,0.673,0.353,0.114,166.13,3,1.5587,0.8,3.2,tp,0.0719,0.1232
1785481320,2026-07-31T07:02:00,cont,-1,301.0,0,318.99,9.777,11.614,2.951,1.048,0.983,344.9,4,5.1038,0.8,3.2,tp,0.0219,0.0376
1785485340,2026-07-31T08:09:00,cont,-1,368.0,0,158.88,5.183,5.657,1.207,0.964,0.565,672.76,7,2.5421,0.8,3.2,tp,0.0441,0.0755
1785492300,2026-07-31T10:05:00,cont,-1,484.0,0,110.19,3.714,3.736,0.785,0.785,0.511,885.78,10,-2.2172,-1.0061,-4.0243,sl,0.0635,0.1089
1785495120,2026-07-31T10:52:00,flip,1,0.0,1,45.07,1.981,1.999,0.52,0.283,0.137,0.0,1,0.7211,0.8,3.2,tp,0.1553,0.2663
1785497460,2026-07-31T11:31:00,flip,-1,0.0,1,91.55,3.378,4.285,0.881,0.569,0.466,0.0,1,1.4648,0.8,3.2,tp,0.0765,0.1311
1785499020,2026-07-31T11:57:00,cont,-1,26.0,1,57.95,2.868,2.712,0.772,0.351,0.265,78.31,4,0.9272,0.8,3.2,tp,0.1208,0.2071
1785500340,2026-07-31T12:19:00,cont,-1,48.0,1,22.27,1.014,1.058,0.286,0.141,0.079,172.42,5,-0.4492,-1.0085,-4.0341,sl,0.3143,0.5388
1785500880,2026-07-31T12:28:00,flip,1,0.0,1,45.83,1.944,2.234,0.552,0.323,0.187,0.0,1,-0.9456,-1.0316,-4.1266,sl,0.1527,0.2618
1785501720,2026-07-31T12:42:00,flip,-1,0.0,1,86.96,2.04,3.493,0.523,0.523,0.34,0.0,1,-1.7812,-1.0241,-4.0966,sl,0.0805,0.138
1785503700,2026-07-31T13:15:00,flip,1,0.0,1,92.6,3.275,3.314,0.966,0.639,0.504,0.0,1,-1.9136,-1.0333,-4.133,sl,0.0756,0.1296
1785505260,2026-07-31T13:41:00,flip,-1,0.0,1,256.3,2.723,8.755,0.707,0.694,0.694,0.0,1,4.1008,0.8,3.2,tp,0.0273,0.0468
1785609060,2026-08-01T18:31:00,cont,-1,1730.0,0,955.86,14.129,31.355,2.292,1.975,1.674,1169.78,2,-19.1496,-1.0017,-4.0068,sl,0.0073,0.0126
1785645180,2026-08-02T04:33:00,flip,1,0.0,1,244.64,14.413,15.257,4.905,4.166,1.758,0.0,1,-4.8968,-1.0008,-4.0033,sl,0.0286,0.0491
1785661320,2026-08-02T09:02:00,flip,-1,0.0,1,79.05,3.924,4.522,0.987,0.326,0.207,0.0,1,-1.6192,-1.0242,-4.0966,sl,0.0886,0.1518
1785662640,2026-08-02T09:24:00,flip,1,0.0,1,42.49,2.106,1.922,0.874,0.205,0.111,0.0,1,-0.8606,-1.0127,-4.0508,sl,0.1647,0.2824
1785665460,2026-08-02T10:11:00,flip,-1,0.0,1,103.33,5.645,5.523,1.237,1.076,0.763,0.0,1,1.6533,0.8,3.2,tp,0.0677,0.1161
1785670980,2026-08-02T11:43:00,cont,-1,92.0,1,108.64,3.854,5.917,1.3,0.96,0.96,107.68,3,1.7382,0.8,3.2,tp,0.0644,0.1105
1785688920,2026-08-02T16:42:00,flip,1,0.0,1,255.92,8.54,13.151,1.352,1.212,1.125,0.0,1,4.0947,0.8,3.2,tp,0.0274,0.0469
1785706920,2026-08-02T21:42:00,cont,1,300.0,0,432.82,10.972,23.632,1.515,1.486,1.129,524.4,3,-8.7302,-1.0085,-4.0341,sl,0.0162,0.0277
1785719580,2026-08-03T01:13:00,flip,-1,0.0,1,215.23,4.77,6.875,1.144,1.123,0.765,0.0,1,3.4437,0.8,3.2,tp,0.0325,0.0558
1785728700,2026-08-03T03:45:00,cont,-1,152.0,0,51.46,2.483,2.532,0.644,0.406,0.279,168.08,5,0.8234,0.8,3.2,tp,0.136,0.2332
1785739140,2026-08-03T06:39:00,cont,-1,326.0,0,190.91,5.469,7.985,1.078,0.956,0.883,482.97,6,3.0546,0.8,3.2,tp,0.0367,0.0629
1785744600,2026-08-03T08:10:00,cont,-1,417.0,0,173.64,5.548,7.563,1.381,1.125,0.992,666.57,9,2.7782,0.8,3.2,tp,0.0403,0.0691
1785749580,2026-08-03T09:33:00,flip,1,0.0,1,89.85,3.386,3.879,0.849,0.512,0.229,0.0,1,1.4376,0.8,3.2,tp,0.0779,0.1336
1785755280,2026-08-03T11:08:00,flip,-1,0.0,1,200.1,5.149,7.611,0.988,0.988,0.784,0.0,1,-4.0082,-1.0015,-4.0062,sl,0.035,0.06
1785758160,2026-08-03T11:56:00,cont,-1,48.0,1,219.36,7.159,8.333,1.231,0.88,0.874,29.89,2,-4.4044,-1.0039,-4.0157,sl,0.0319,0.0547
1785764940,2026-08-03T13:49:00,flip,1,0.0,1,435.04,5.101,10.159,1.047,0.801,0.801,0.0,1,6.9606,0.8,3.2,tp,0.0161,0.0276
1785766560,2026-08-03T14:16:00,cont,1,27.0,1,337.19,4.314,4.431,0.895,0.488,0.353,502.73,2,5.395,0.8,3.2,tp,0.0208,0.0356
1785768840,2026-08-03T14:54:00,cont,1,65.0,1,238.05,3.261,2.781,0.903,0.456,0.3,906.51,4,-4.7632,-1.0005,-4.0018,sl,0.0294,0.0504
1785777840,2026-08-03T17:24:00,cont,1,215.0,0,355.39,7.898,10.456,1.174,0.945,0.928,1030.49,5,-7.1202,-1.0017,-4.007,sl,0.0197,0.0338
1785794040,2026-08-03T21:54:00,flip,-1,0.0,1,58.65,2.368,2.77,0.462,0.41,0.269,0.0,1,0.9384,0.8,3.2,tp,0.1194,0.2046
1785794520,2026-08-03T22:02:00,cont,-1,8.0,1,101.98,2.872,4.372,0.597,0.452,0.352,100.18,2,1.6317,0.8,3.2,tp,0.0686,0.1177
1785802620,2026-08-04T00:17:00,cont,-1,143.0,0,272.14,8.031,11.912,1.464,1.464,1.236,194.35,3,-5.4762,-1.0061,-4.0245,sl,0.0257,0.0441
1785810960,2026-08-04T02:36:00,cont,1,78.0,1,249.54,5.403,6.817,0.79,0.79,0.754,428.11,3,-5.0268,-1.0072,-4.0289,sl,0.0281,0.0481
1785818340,2026-08-04T04:39:00,cont,1,201.0,0,394.19,13.079,19.899,1.901,1.661,1.422,530.0,4,-7.894,-1.0013,-4.0052,sl,0.0178,0.0304
1785838500,2026-08-04T10:15:00,flip,-1,0.0,1,302.66,14.075,20.464,2.456,1.784,1.784,0.0,1,-6.0686,-1.0025,-4.0102,sl,0.0231,0.0396
1785843840,2026-08-04T11:44:00,flip,1,0.0,1,164.64,4.188,5.382,0.896,0.883,0.653,0.0,1,2.6342,0.8,3.2,tp,0.0425,0.0729
1785847080,2026-08-04T12:38:00,cont,1,54.0,1,212.3,5.237,7.473,0.779,0.772,0.614,118.53,2,-4.247,-1.0002,-4.0009,sl,0.033,0.0565
1785854460,2026-08-04T14:41:00,cont,1,177.0,0,553.61,6.916,8.556,1.479,0.952,0.939,312.04,4,8.8578,0.8,3.2,tp,0.0126,0.0217
1785932700,2026-08-05T12:25:00,cont,1,1481.0,0,592.6,9.927,23.866,1.406,1.067,1.067,679.24,7,-11.8574,-1.0005,-4.0018,sl,0.0118,0.0202
1785942180,2026-08-05T15:03:00,cont,1,1639.0,0,682.01,10.533,10.676,2.737,2.423,2.358,716.53,8,10.9122,0.8,3.2,tp,0.0103,0.0176
1786104600,2026-08-07T12:10:00,cont,1,289.0,0,223.91,7.06,8.701,1.099,0.999,0.767,800.37,7,-4.4872,-1.002,-4.008,sl,0.0313,0.0536
1786107000,2026-08-07T12:50:00,cont,1,329.0,0,327.41,5.929,8.346,1.039,0.913,0.913,890.18,8,-6.6482,-1.0153,-4.0611,sl,0.0214,0.0367
1786121940,2026-08-07T16:59:00,flip,-1,0.0,1,474.74,16.792,15.476,3.032,2.728,1.719,0.0,1,-9.5456,-1.0054,-4.0214,sl,0.0147,0.0253
1786287420,2026-08-09T14:57:00,cont,1,415.0,0,137.48,8.65,9.132,1.114,0.973,0.973,414.12,7,-2.7938,-1.0161,-4.0643,sl,0.0509,0.0873
1786313640,2026-08-09T22:14:00,cont,1,852.0,0,367.1,10.357,24.514,1.238,1.177,0.982,554.22,8,-7.358,-1.0022,-4.0087,sl,0.0191,0.0327
1786317660,2026-08-09T23:21:00,flip,-1,0.0,1,144.71,4.098,4.636,1.097,0.906,0.414,0.0,1,2.3154,0.8,3.2,tp,0.0484,0.0829
