tb,time,src,era,kind,d,pnl,R,tpf,spread_med24,spread_over_range24,spread_over_atr,tp_over_spread,stop_over_spread,atr_over_price,rng60,rng360,rng1440,absret60,absret360,absret1440,sd60,sd360,sd1440,er60,er360,er1440,signac360,flips_per_day,bos_per_day,cont_per_flip,med_flip_gap_min,trend_age_min,flip_share20,own20_tpf,own50_tpf,own20_R,own50_R,own20_flip_R,own20_cont_R,mkt20_fwd5,mkt20_fwd15,mkt20_fwd30,mkt20_ge05
1767697740,2026-01-06T11:09:00,V2,DISC,cont,1,1.4734,0.8,1,12.6,0.2507,0.28463,5.84683,7.30873,4.72531,36.22,37.58,50.26,136.46641,909.67644,5040.18729,2.86604,3.32908,4.8148,0.13742,0.00327,0.01509,-0.0585,14,45,2.21429,89.0,109.0,0.5,0.4,0.42222,-0.2899,-0.24988,-0.10764,-0.38178,-0.11271,-0.17097,-0.51774,0.15
1767706680,2026-01-06T13:38:00,V2,DISC,flip,-1,-1.873,-1.0139,0,12.6,0.25746,0.34982,5.86508,7.33095,3.84625,36.82,35.25,48.94,135.41965,881.52567,5012.52804,2.75691,3.17289,4.78846,0.09985,0.04055,0.02148,-0.08078,14,45,2.21429,98.0,0.0,0.45,0.45,0.44681,-0.19961,-0.2052,-0.01707,-0.29138,-0.07638,-0.15269,-0.52999,0.15
1767708240,2026-01-06T14:04:00,V2,DISC,flip,1,1.5466,0.8,1,12.6,0.26028,0.29875,6.1373,7.67143,4.4973,38.605,34.495,48.41,143.48014,856.98882,4973.6974,2.9219,3.05655,4.77003,0.00476,0.05818,0.02061,-0.09192,15,46,2.06667,98.0,0.0,0.45,0.45,0.44681,-0.19961,-0.2052,-0.01707,-0.29138,-0.07638,-0.15269,-0.52999,0.15
1767711120,2026-01-06T14:52:00,V2,DISC,flip,-1,-8.5818,-1.0077,0,12.6,0.25746,0.06507,27.03651,33.79524,20.68443,108.905,37.965,48.94,467.81466,1184.90671,5084.77895,10.4083,5.08798,4.92312,0.00437,0.03653,0.00544,-0.09749,16,46,1.875,89.0,0.0,0.45,0.45,0.44681,-0.19961,-0.2052,-0.01707,-0.29138,0.03216,0.08182,-0.39976,0.2
1767714000,2026-01-06T15:40:00,V2,DISC,cont,-1,11.2901,0.8,1,12.6,0.25772,0.10283,44.80159,56.00238,13.10419,127.265,43.055,48.89,585.28119,1459.92881,5139.56852,12.08055,6.16097,4.94932,0.12179,0.00754,0.0027,-0.13092,15,44,1.93333,89.0,48.0,0.45,0.45,0.4375,-0.19941,-0.22205,-0.10777,-0.29138,0.02105,0.07452,-0.44164,0.2
1767815340,2026-01-07T19:49:00,V2,DISC,flip,1,1.9779,0.8,1,12.6,0.24395,0.27749,7.84921,9.81111,4.98621,60.915,76.55,51.65,252.75715,1878.66256,5672.11827,5.80441,7.17354,5.69051,0.03122,0.05631,0.02043,0.02507,1,4,3.0,98.0,0.0,0.5,0.45,0.46,-0.19911,-0.18045,-0.1069,-0.29138,0.06482,0.17757,-0.32449,0.2
1767816060,2026-01-07T20:01:00,V2,DISC,cont,1,-3.2422,-1.0467,0,12.6,0.24313,0.22323,9.83333,12.29127,6.1895,57.755,76.69,51.825,226.86497,1897.0614,5665.30451,5.17777,7.20842,5.66831,0.13899,0.03878,0.02082,0.02507,1,5,4.0,98.0,12.0,0.5,0.45,0.46,-0.19911,-0.18045,-0.1069,-0.29138,0.06482,0.17757,-0.32449,0.2
1767817320,2026-01-07T20:22:00,V2,DISC,flip,-1,-3.125,-1.0156,0,12.6,0.24313,0.19485,9.76825,12.21032,7.12239,53.27,74.975,51.825,215.19273,1868.75221,5691.86629,4.69327,7.11246,5.66914,0.02862,0.03793,0.03175,0.02507,2,6,2.0,89.0,0.0,0.5,0.45,0.46,-0.19911,-0.18045,-0.1069,-0.29138,0.09255,0.28931,-0.25229,0.2
1767820680,2026-01-07T21:18:00,V2,DISC,flip,1,-4.951,-1.013,0,12.6,0.24126,0.28415,15.51587,19.39524,4.8665,59.04,68.685,52.225,245.53901,1598.84167,5590.86775,4.99897,5.76897,5.37434,0.093,0.00711,0.04867,0.00836,3,7,1.33333,61.0,0.0,0.5,0.45,0.46,-0.19911,-0.18045,-0.1069,-0.29138,0.06703,0.1168,-0.32208,0.2
1767825180,2026-01-07T22:33:00,V2,DISC,cont,1,6.756,0.8,1,12.6,0.25365,0.29859,26.80952,33.5119,4.62716,33.04,57.37,49.675,171.78833,1389.40929,5346.19026,3.9058,5.14594,5.16074,0.05795,0.01015,0.03858,-0.0195,3,8,1.66667,61.0,75.0,0.5,0.45,0.46,-0.20087,-0.18137,-0.01742,-0.29313,0.06742,0.142,-0.2826,0.2
1767840120,2026-01-08T02:42:00,V2,DISC,flip,-1,1.8915,0.8,1,12.6,0.26286,0.18406,7.50635,9.38254,7.54248,50.36,44.045,47.935,189.83269,1154.05042,5147.08621,4.41487,4.31694,4.99663,0.30497,0.02199,0.04378,-0.06964,4,11,1.75,89.0,0.0,0.55,0.45,0.44,-0.20056,-0.21763,-0.10806,-0.20301,0.04376,0.09168,-0.34885,0.15
1767841380,2026-01-08T03:03:00,V2,DISC,flip,1,-2.9224,-1.0193,0,12.6,0.26185,0.26216,9.10159,11.37698,5.28527,53.37,43.005,48.12,232.97243,1143.38033,5152.64077,5.04207,4.28515,5.00706,0.15395,0.01435,0.04207,-0.04178,5,12,1.4,56.0,0.0,0.55,0.45,0.44,-0.20056,-0.21763,-0.10806,-0.20301,0.04376,0.09168,-0.34885,0.15
