trade_no,open_time,close_time,entry_type,dir,lot,entry,sl,tp,risk_usd,add_lot,add_level,result,pnl,close_lot,debt_after,chest_after,bot_net_after
27,2026-09-10T23:08:57.156919+00:00,2026-09-11T00:54:24.379107+00:00,TOUCH ENTRY,SELL,0.02,76575.18,76855.89,76350.61,5.61,,,LOSS,-5.05,0.02,41.83,0.12,-35.77
28,2026-09-11T01:01:03.186972+00:00,2026-09-11T01:02:23.336120+00:00,FLIP-BOS ENTRY,BUY,0.02,76907.35,76845.49,76956.84,1.24,,,WIN,+0.98,0.02,40.85,0.12,-34.79
29,2026-09-11T01:22:39.669946+00:00,2026-09-11T01:54:44.310115+00:00,FLIP-BOS ENTRY,SELL,0.02,76760.39,76927.09,76627.03,3.33,,,LOSS,-3.33,0.02,44.18,0.12,-38.12
30,2026-09-11T02:05:03.391569+00:00,2026-09-11T02:07:16.251434+00:00,FLIP-BOS ENTRY,BUY,0.02,76964.89,76885.31,77028.55,1.59,,,LOSS,-1.67,0.02,45.85,0.12,-39.79
31,2026-09-11T02:14:24.378154+00:00,2026-09-11T02:18:09.220499+00:00,TOUCH ENTRY,BUY,0.02,76967.69,76859.18,77054.50,2.17,,,LOSS,-2.15,0.02,48.00,0.12,-41.94
32,2026-09-11T02:19:03.098676+00:00,2026-09-11T02:26:56.345715+00:00,FLIP-BOS ENTRY,SELL,0.02,76850.95,76955.41,76767.38,2.09,,,WIN,+1.70,0.02,46.30,0.12,-40.24
33,2026-09-11T03:05:29.156101+00:00,2026-09-11T04:01:21.263259+00:00,TOUCH ENTRY,SELL,0.02,76738.15,76898.72,76609.69,3.21,,,LOSS,-3.20,0.02,49.50,0.12,-43.44
34,2026-09-11T04:21:49.880110+00:00,2026-09-11T04:25:54.340249+00:00,FLIP-BOS ENTRY,BUY,0.02,76981.69,76864.61,77075.35,2.34,,,WIN,+1.89,0.02,47.61,0.12,-41.55
35,2026-09-11T05:39:20.017590+00:00,2026-09-11T06:13:12.237632+00:00,TOUCH ENTRY,BUY,0.02,77165.21,77031.05,77272.54,2.68,,,WIN,+2.15,0.02,45.46,0.12,-39.40
36,2026-09-11T08:09:03.876836+00:00,2026-09-11T08:24:27.313291+00:00,FLIP-BOS ENTRY,SELL,0.02,77119.62,77362.18,76925.57,4.85,,,LOSS,-5.09,0.02,50.55,0.12,-44.49
37,2026-09-11T09:34:07.913518+00:00,2026-09-11T11:09:41.353366+00:00,TOUCH ENTRY,SELL,0.02,77083.75,77474.31,76771.30,7.81,,,WIN,+6.25,0.02,44.30,0.12,-38.24
38,2026-09-11T11:58:41.801493+00:00,2026-09-11T12:02:56.603973+00:00,FLIP-BOS ENTRY,BUY,0.02,76978.40,76851.81,77079.67,2.53,,,WIN,+1.65,0.02,42.65,0.12,-36.59
